,Unnamed: 0,Unnamed: 0.1,hike_name,region,length,elevation gain,rating,number_votes,features,"pass(0-no pass, 1- pass required)",which_pass,lat,long,time_from_seattle,url,latlong,numReports,hike_desc
982,982,,Lakes Trail,Mount Rainier Area -- SW - Longmire/Paradise,"5.25 miles, roundtrip",1550,3.83 out of 5,(6 votes) Log in to rate,"[Wildlife, Waterfalls, Lakes, Ridges/passes]",,National Park/Refuge entry fee required,,,,http://www.wta.org/go-hiking/hikes/lakes-trail,"http://maps.google.com/maps?hl=en&sz=11&spn=0.288219,0.275345&mrsp=0&ie=UTF8&daddr=46.7858,-121.7372&f=d&sll=46.7858,-121.7372&geocode=&t=p&saddr=&z=11&mra=mi",26.0,"Explore this loop that begins and ends at the popular Paradise Ranger Station on Mount Rainier. Hike a little more than five miles around and through a myriad of delightful lakes at the base of Washington's tallest volcano.Begin by heading downhill on the Lakes Trail, away from the Henry M. Jackson Visitor Center. At .57 mile you will come to a junction with the Narada Falls Trail. At just 1.2 miles round trip, Narada Falls offers a nice add-on if your group wants to add some mileage. If not, the falls are accessible from the Paradise-Longmire Road if you want to visit it on the way out of the park. Continue past the Narada Falls trail junction and soon cross the Paradise Valley Road. Just 0.3 miles after crossing the road, arrive at another junction, this one for the High Lakes Trail. This shortcut meets up with the Lakes Trail at its west end. Taking the shortcut shaves off nearly a mile of trail, but hikers who elect to take this route miss out on intimate views of Reflection Lake. Take the right fork to stay on the Lakes Trail, and drop down 200 feet over about half a mile, meeting up with the Wonderland Trail and then the Stevens Canyon Road. Hiking along the road, you'll be on the shore of Reflection Lakes for half a mile before turning sharply away from the road and beginning a mile-long climb through forest and across creeks to Faraway Rock. Note that just after leaving the road, a junction with the Wonderland Trail peels off to your right. Proceed straight to stay on the Lakes Trail. Faraway Rock offers an overlook for the lake just before you arrive at a junction with the west end of the High Lakes Trail. Continue straight on the Lakes Trail for 1.21 miles before arriving at the junction with the Skyline Trail. This is a more challenging route that heads up to Panorama Point on the flanks of Rainier. It is possible to continue up this route and return to your car on a longer loop, but it adds more than 4 miles to your hike. Turn instead onto the trail that branches off to the left, and switchback down Mazama Ridge. Pass the junction with the 4th Crossing Trail, and continue on, traversing the slope and passing several creeks until you arrive at Myrtle Falls. You have just a quarter mile to go back to your car, and it's all downhill from here."
983,983,,Lower Dungeness River,Olympic Peninsula -- Hood Canal,"12.6 miles, roundtrip",1000,3.57 out of 5,(7 votes) Log in to rate,"[Dogs allowed on leash, Rivers]",,No pass or permit required,,,,http://www.wta.org/go-hiking/hikes/lower-dungeness-river,"http://maps.google.com/maps?hl=en&sz=11&spn=0.288219,0.275345&mrsp=0&ie=UTF8&daddr=47.9307,-123.0946&f=d&sll=47.9307,-123.0946&geocode=&t=p&saddr=&z=11&mra=mi",40.0,"The Lower Dungeness Trail travels through mostly conifer forests along the steep slopes of the Dungeness. You'll start very close to the river with views of the lush valley floor but soon the trail starts to ascend to the steep valley walls. This trail has a fair bit of elevation gain in the first half of the trail and passes through various stands of cedar, douglas fir and alder. You'll occasionally be offered views of the other side of the Dungeness Valley and even the snowy caps far up to the river headwaters.The halfway point, you can't miss 3 o'clock ridge. It makes a good spot to stop for a snack and you'll enjoy views of the valley bottom, Dirty Face Ridge and Mt Townsend."
984,984,,Loowit Trail,South Cascades -- Mount St. Helens,"28.0 miles, roundtrip",6000,3.38 out of 5,(13 votes) Log in to rate,"[Ridges/passes, Established campsites, Mountain views, Waterfalls, Rivers]",,Northwest Forest Pass required,,,,http://www.wta.org/go-hiking/hikes/loowit,"http://maps.google.com/maps?hl=en&sz=11&spn=0.288219,0.275345&mrsp=0&ie=UTF8&daddr=46.2497,-122.1363&f=d&sll=46.2497,-122.1363&geocode=&t=p&saddr=&z=11&mra=mi",71.0,"The Loowit Trail circumambulates Mount St. Helens, dropping into and climbing out of deep gullies left by the eruption of St. Helens and its subsequent debris flows. This hike is very challenging, with sparse camps, little water and some sketchy sections of loose pumice. Since the eruption denuded the slopes of the mountain, you’re almost always in sun, so make sure you wear your hat and bring sunscreen. It is all too easy to get a severe sunburn on these slopes.With those cautions in mind, you’ll fully appreciate the stark, otherworldly beauty of the blast zone. Vast fields of pumice gouged with deep gullies frame the gaping immensity of the mountain.  There are multiple points where you can access the Loowit, here are four of the most commonly used access points. (If you want a taste of the Loowit without the full meal deal, each of these hikes is a great way to sample the mountain.)Windy RidgeFollow the Truman Trail (#207) for approx. 3 miles, then take the Windy Trail (#216E) for another 1 mile to the Loowit (#216). This route will take you closest to “The Breach” and Loowit Falls. Note that camping is not allowed in the blast zone which includes the northern portion of the mountain between the South Fork of the Toutle River and Windy Pass.Ape Canyon TrailheadPark at the Ape Canyon Trailhead and go 5.5 miles on the Ape Canyon Trail (#234) to the junction with the Loowit (#216). Turn right (north) and hike another mile or two across the spectacular Plains of Abraham. Note this route is very popular with mountain bikers.Climber’s BivouacTake the Ptarmigan Trail (#216A) 2 miles to the junction with the Loowit (#216). Turn left or right to experience the Loowit as it skirts the treeline along the volcano’s southern flank.Blue Lake TrailheadFollow the Toutle Trail (#238) for about 3 miles. Ascend the Sheep Canyon Trail (#240) 2.5 miles to the Loowit. You can make a nice lollipop loop by following the Loowit another 2.5 miles north to its intersection with the terminus of the Toutle Trail, then following the Toutle Trail approx 5 miles back to the Blue Lake Trailhead. Circumnavigating Mount St. HelensSome recommend starting from the south at Climber’s Bivouac while others chose to start on the NE side from Windy Ridge. In either case you need to plan on crossing the blast zone in one push as camping is prohibited between the South Fork of the Toutle River and Windy Pass.  Since the most rugged section is on the west side where major washouts require extensive detours and/or scrambles, plan your trip to hit those sections when you are relatively fresh.Although each year hikers do complete the Loowit, others have turned back unable to find safe passage through some of the gullies. Since conditions change so frequently and people’s route finding ability and tolerance for risk vary, it is impossible to predict if the circumnavigation is “doable” at any given time for any hiker.This route description is for a counter-clockwise circumnavigation hike starting from the north side where the Windy Trail (#216E) meets the Loowit. Your first seven miles will afford near constant views of denuded slopes as you cross the blast zone looking into “The Breach”.  A short side-trail to Loowit Falls is a worthwhile break.  As you come around the mountain to the NW, the route drops into the valley carved by the South Fork of the Toutle.  Here the trail is frequently obliterated by the river and sliding loose rock and pumice. Crossing this gully is the first of three major wash-outs on the route.Continuing on the Loowit, the trail climbs up into remnant old growth forest on Crescent Ridge, and then enters a zone of burned trees and flower-rife meadows. You’ll enter subalpine forest, the trail climbing and falling until it again ascends to timberline near 4,700 ft.  About a ½ mile beyond the junction with the Sheep Canyon Trail the Loowit was obliterated by a washout in the Blue Lake Wash, leaving a huge chasm with near vertical walls in its place. The Forest Service completed a bypass route that adds another few miles, but it is much safer than attempting to scramble through the massive gully.Next, you’ll reach the junction with the Butte Camp Trail #238A. You can drop steeply along this trail—roughly 800 feet—to Butte Camp, if you need to make camp.Most of the trail from here on in is rugged as it runs through several lava beds, sometimes with nothing but posts or cairns to show the way.  After crossing Swift Creek (the winter climbing route), there is one more lava bed crossing to the junction with the June Lake Trail. For a pleasant campsite, follow the steep June Lake Trail (#216B) ¼ mile to its namesake lake. Continuing around the SE side of the Mountain you will encounter the 3rd major washout on the Loowit at Muddy Creek. It is approx. 4 miles from the June Lake Trail junction. Like the previous two washed out sections, the steep canyon walls and loose rock make it difficult and dangerous to scramble through the chasm.  WTA volunteer Backcountry Response Teams restored a badly washed-out section here in 2010.You’ll traverse more lava on the 4.75 miles to the Ape Canyon Trail.  Some of the best wild flowers are at the top of the canyon north of Pumice Butte. You finally have 4 miles of relatively smooth trail across the Plains of Abraham, then up Windy Pass and back to the intersection of the Windy Trail (#216). From there you’re on familiar terrain following the Truman Trail (#207) back to Windy Ridge.NOTE:  Trip mileage does not include required approach trails to the loop.  Some guide books give total vertical around 4000 ft, but with Blue Lake Wash detour and careful measurement, all the ups and downs make it more like 6000+ feet including whatever approach you choose."
985,985,,Johnson Peak-Lily Basin,South Cascades -- Goat Rocks,"12.0 miles, roundtrip",1900,3.20 out of 5,(5 votes) Log in to rate,[],,Northwest Forest Pass required,,,,http://www.wta.org/go-hiking/hikes/lilly-basin,"http://maps.google.com/maps?hl=en&sz=11&spn=0.288219,0.275345&mrsp=0&ie=UTF8&daddr=46.5641,-121.5999&f=d&sll=46.5641,-121.5999&geocode=&t=p&saddr=&z=11&mra=mi",49.0,"The worst part of this moderate climb is knocked off in the first few miles. After that, the trail rambles along a beautiful, rugged ridge to the west flank of 7487-foot Johnson Peak before turning sharply south to intercept the Angry Mountain Trail.The trail climbs slowly and steadily from the trailhead, traversing the slope above Glacier Lake for nearly a mile before topping out on the long ridge leading east. You'll follow the forested ridge for 4 miles to the lower flank of Johnson Ridge. As you stride out under the west face of Johnson, the forest opens onto broad but steep wildflower meadows. At this point, you are circling the upper reaches of Lily Basin-the headwaters of Glacier Creek. Find a nice place to stop and rest in these sweet wildflower meadows, or press on to the 6-mile mark where the trail intercepts the Angry Mountain Trail. Turn around there for a 12-mile trek."
986,986,,Kalaloch - Browns Point,Olympic Peninsula -- Pacific Coast,"4.0 miles, roundtrip",25,3.25 out of 5,(4 votes) Log in to rate,"[Good for kids, Coast]",,NR,,,,http://www.wta.org/go-hiking/hikes/kalaloch-browns-point,"http://maps.google.com/maps?hl=en&sz=11&spn=0.288219,0.275345&mrsp=0&ie=UTF8&daddr=47.6129,-124.3762&f=d&sll=47.6129,-124.3762&geocode=&t=p&saddr=&z=11&mra=mi",6.0,"The wide sandy beaches of Kalaloch are the perfect introduction to the wild Olympic Coast. Although the highway is never far, towering bluffs and hidden coves give this area a remote feeling. Perfect for children and Rover too (dogs are allowed on these beaches, but they must be leashed), spend days exploring this area's extensive tide pools and headlands. The hike to Browns Point, a jumbled collection of rock islands and surf-splashed cliffs, makes a fine half-day objective.From the picnic area bluff descend 25 feet, hopping over a tangled pile of drift logs to reach the beach, and then head north on the wide and smooth expanse of sandy shoreline. Throughout most of the summer a shroud of fog impairs the view. But on clear fall and spring days you can see all the way to Hoh Head on the northern horizon. Destruction Island, a 60-acre barren outpost over 3 miles from shore, can also be seen when the skies are clear. Uninhabited, it's one the Pacific Coast's most important seabird colonies.In 1 mile high grassy bluffs rising to your right increase the feeling of remoteness. At 1.6 miles a series of ledges and cliffs encroaches upon the surf. If the tide is high, this is as far as you can safely go. Turn around and enjoy the beaches south of the Kalaloch Campground.But if the tide is low, work your way over, around, and even through (there's a small sandstone arch, look for it) the rocks and ledges making up Browns Point. Explore tidal pools and cliffside caves. Admire orange and purple starfishes tightly cemented to barnacle-clad rocks. Peer down at spongy urchins and other sea critters in nature's little saltwater baths. But remember, the intertidal zone is a fragile ecosystem. Please don't remove or disturb its inhabitants. That's the job for raucous oystercatchers in search of tasty morsels.Come to the other side of Browns Point at 2 miles. Beyond, Beaches 3 and 4 offer more wide sandy stretches. Don't forget to check your tide chart for the return if you decide to go farther."
987,987,,June Lake,South Cascades -- Mount St. Helens,"2.8 miles, roundtrip",200,3.60 out of 5,(5 votes) Log in to rate,"[Mountain views, Wildlife, Lakes, Ridges/passes]",,Northwest Forest Pass required,,,,http://www.wta.org/go-hiking/hikes/june-lake,"http://maps.google.com/maps?hl=en&sz=11&spn=0.288219,0.275345&mrsp=0&ie=UTF8&daddr=46.1357,-122.1583&f=d&sll=46.1357,-122.1583&geocode=&t=p&saddr=&z=11&mra=mi",19.0,"This scenic trail climbs gently to the shore of June Lake, a small, shallow pool near the timberline on the southern flank of Mount St. Helens. The surrounding wildflowers are examples of the resiliency of nature, the meadows are once again lush and green, and the lake seems to host a healthy population of frogs and salamanders. The south bank of the lake is a gorgeous tapered beach of gray sand. While the cinder cone summit is hidden behind a ridge, there are good views of the south end of the Worm Flows, an interesting network of mud and lava flows.From the trailhead, the popular June Lake Trail angles up the small creek valley flowing out of the lake basin. The trail dips near the creek bed in the first few hundred yards, then climbs up onto the slope above the valley bottom and rolls north through forests for the next mile. As you near the lake basin, the trail leaves the woods and enters a small rugged lava flow along the southern edge of the lake. The trail sweeps around the west side of the small lake.Stop at the lake to rest and return the way you came, or press on another 0.3 mile, climbing to the Loowit Trail on the edge of the lava fields at 3400 feet."
988,988,,Horseshoe Basin,North Cascades -- Pasayten,"12.0 miles, roundtrip",1550,3.30 out of 5,(10 votes) Log in to rate,"[Mountain views, Wildlife, Established campsites, Ridges/passes, Dogs allowed on leash]",,Northwest Forest Pass required,,,,http://www.wta.org/go-hiking/hikes/horseshoe-basin-pasayten,"http://maps.google.com/maps?hl=en&sz=11&spn=0.288219,0.275345&mrsp=0&ie=UTF8&daddr=48.9086,-119.9041&f=d&sll=48.9086,-119.9041&geocode=&t=p&saddr=&z=11&mra=mi",75.0,"The drive to the trailhead may be long, but the destination is absolutely worth it.At the easterly edge of the Pasayten Wilderness, almost touching the Canadian border, lies Horseshoe Basin; a truly unique and beautifully remote place. Horseshoe Basin is one of the few places in the Lower 48 to contain arctic tundra and is home to bears, deer and bighorn sheep, if you know where to look. Allow plenty of time to explore Horseshoe Basin by camping at the trailhead, where primitive camping without a water source is available. Bring plenty of water with you. From the trailhead, enter a forest still bearing scars from the 2006 Tripod Fire. Note how the trees are starting to silver and keep your eyes out wildlife, including porcupines and woodpeckers. Water is scarce along this section of trail and in the heat of summer this area can be a scorcher due to the lack of tree cover. At 1.5 miles cross a tributary of Clutch Creek, the only consistent water source until Horseshoe Basin. This is your last chance to refill water bottles, so take the time to do so here. Continue on until the trail finally breaks out of the burned area about three miles from the trailhead. Here, emerald green hillsides take over the vista in front of you, and scenic Sunny Pass beckons.Hike steadily uphill and reach the inviting pass at 4.8 miles. Sunny Pass is the perfect place for a picnic lunch. As you enjoy a snack, enjoy your first sight of Horseshoe Basin, an area that begs further exploration. On your way to the basin, you’ll see increasing amounts of subalpine fir trees, trickling creeks and bright wildflowers. At six miles you arrive at your destination; sublime Horseshoe Basin. Take in the expansiveness of the area. Gawking is allowed, even encouraged. If you’re still feeling sprightly, head uphill as far as you’d  like for increasingly expansive vistas – go far enough and you can touch Canada!WTA Pro Tip: Before you head into the vast wilderness, fill up at Whistler's Family Restaurant in Tonasket."
989,989,,Hannegan Pass and Peak,North Cascades -- Mount Baker Area,"10.4 miles, roundtrip",3100,4.00 out of 5,(13 votes) Log in to rate,"[Wildlife, Established campsites, Ridges/passes, Summits, Dogs allowed on leash]",,Northwest Forest Pass required,,,,http://www.wta.org/go-hiking/hikes/hannegan-pass-and-peak,"http://maps.google.com/maps?hl=en&sz=11&spn=0.288219,0.275345&mrsp=0&ie=UTF8&daddr=48.9101,-121.5927&f=d&sll=48.9101,-121.5927&geocode=&t=p&saddr=&z=11&mra=mi",225.0,"Begin hiking from the parking area at the end of the Hannegan Pass Road (FS 32). The first couple of miles have a very gentle grade - enjoy views of Mount Sefrit and the Nooksack Ridge, as well as the sounds of Ruth Creek running below, but beware of biting flies; they love the dense flora along the first part of the trail at least as much as hikers do. The trail crosses several small waterfalls and dips in and out of shady pine glades, offering a respite from the heat of the sun. The grade increases around mile three, launching into switchbacks at Hannegan Pass camp, which continue all the way up to Hannegan Pass. Enjoy the view, drink some water and have a snack at the pass, looking up the Middle Creek drainage and into the North Cascades National Park, because you're not finished yet! The trail up to Hannegan Peak begins with steadily graded switchbacks that weave through forest and beautiful alpine meadows with views of Ruth Mountain that improve as you climb. And climb you will - with 1,000 feet of elevation gain in just over a mile, this is by far the biggest push of the hike. But it's so worth it. At the summit, enjoy 360 degree views of Cascade peaks, including Goat Mountain, the High Divide, and the Nooksack Ridge to the west. To the north are the peaks of British Columbia and the remote Silesia Creek valley, and to the east, Copper Ridge is visible, as well as Mount Redoubt in the distance. But the southern view is by far the most commanding, with in-your-face vistas of Mount Baker and Ruth Mountain, as well as Mount Shuksan, the East Nooksack Glacier and the Nooksack Tower."
990,990,,Goat Mountain,South Cascades -- Mount St. Helens,"6.0 miles, roundtrip",1600,3.50 out of 5,(8 votes) Log in to rate,"[Mountain views, Summits, Lakes]",,Northwest Forest Pass required,,,,http://www.wta.org/go-hiking/hikes/goat-mountain-1,"http://maps.google.com/maps?hl=en&sz=11&spn=0.288219,0.275345&mrsp=0&ie=UTF8&daddr=46.4176,-122.1724&f=d&sll=46.4176,-122.1724&geocode=&t=p&saddr=&z=11&mra=mi",34.0,"Traversing a high ridge due north of Mount St. Helens, this trail offers some of the best views of the volcano's massive crater and huge blast area. Goat Mountain hikers can see the yawning crater and the piled rubble of the new lava dome, as well as the incredible changes to the land in front of the blast. You can look out over vast hillsides that used to be covered in thick, green forest; in a matter of minutes in 1980, they were reduced to stark gray wastelands. Vegetation has only begun to come back in the last few years, and the new greenery is especially vivid against the sterile ash backdrop. Even the ridge along which the trail runs was scarred by the blast, and streaks of ash are evident everywhere.The trail takes off and immediately climbs steeply from the trailhead near Ryan Lake for about 2 miles (a 1500-foot elevation gain) to the long ridge of Goat Mountain and then heads west along its southern flank. The remnants of Mount St. Helens are put in proper context when you turn north from the summit of Goat Mountain and view noble, towering Mount Rainier. The low, gray hulk of St. Helens used to be white-capped and, some say, even more majestic in appearance than Rainier, the King of the Cascades. Even kings can be laid low-Mount Rainier is considered active and expected to erupt in the next 100 years.Enjoy your ramble along the summit ridge before turning back the way you came."
991,991,,East Fork Foss - Necklace Valley,Central Cascades -- Stevens Pass - West,"18.0 miles, roundtrip",3400,3.06 out of 5,(17 votes) Log in to rate,"[Mountain views, Established campsites, Old growth, Lakes, Rivers]",,NR,,,,http://www.wta.org/go-hiking/hikes/necklace-valley,"http://maps.google.com/maps?hl=en&sz=11&spn=0.288219,0.275345&mrsp=0&ie=UTF8&daddr=47.6659,-121.2881&f=d&sll=47.6659,-121.2881&geocode=&t=p&saddr=&z=11&mra=mi",206.0,"The East Fork Foss trail makes a lovely spring or early summer day hike or backpack. The challenging climb into the Necklace Valley well-rewards hearty hikers with cool alpine lakes named for precious gems that you can swim, fish in, or just camp beside. The trail begins gently along the East Fork Foss River, traversing through a beautiful, naturally-regenerated forest that was logged by the railroads in the 1930s. The first five miles gain only 600 feet. Lowland forest wildflowers will keep your senses busy - look for trillium, calypso orchids, and yellow violets and more. This pleasant stroll abruptly ends when you come to the crossing of the East Fork Foss River. There is an established campsite here, and this is a good turn-around for a day hike of the East Fork Foss.Depending on the condition of the footlog and the amount of snowmelt in the river below, the crossing can be a little scary. Hold on to the handwire.  After the crossing, the hike changes considerably as it becomes a steep, grueling climb, gaining 2400 feet in just 3 miles until you reach the first of the gems - Jade Lake. It's nice and peaceful, and there are established campsites here, but you will be amply rewarded if you push on to Emerald or Locket Lake. Be prepared for insects.Enjoy a few days exploring up here, scrambling over granite, breathing in the fragrant mountain heather, and relaxing in the shade of forest. No campfires are allowed, so be sure and pack your backcountry stove.From the cabin, a trail climbs, then drops west to Al Lake. There is a maze of social trails in this area.The upper end of this hanging valley accesses La Bohn Lakes and the standard route on Mt. Hinman. This is most pleasant as a snow ascent in early season, but the snow chute to the gap requires an ice axe. Once the snow is gone, Hinman is very rocky.  In late season, follow the left edge of the talus as high as possible, then work left on a discernible scramble track that generally follows the right side of the La Bohn Lakes' outfall.Necklace Valley also accesses the Tank/Foehn Lakes areas. Ascend the very rocky, cairned medial moraine up this huge, recently glaciated cirque. Might be easiest in early season on snow. Please treat the fragile high country very carefully.For an adventurous hike one may continue from Tank Lakes in a generally south-westerly direction towards Iron Cap Mountain. Fred Beckey shows this route as the Alpine Lakes High Route (see Cascade Alpine Guide, #1, second edition, page 188). One may circumvent ICM to the north or go over it (both routes have their pros and cons and neither are simple). At ones discretion, descend to either Otter Lake or Big Heart Lake on fisherman's trails. From either one may gain the West Fork of the Foss River. This trail will join Road #68 just one mile south of where your car is parked at the east fork trailhead! Note that your mileage will increase to 22-26 miles with ~6500 in elevation gain."
992,992,,West Fork Dosewallips River,Olympic Peninsula -- Hood Canal,"8.4 miles, roundtrip",900,4.40 out of 5,(5 votes) Log in to rate,[],,NR,,,,http://www.wta.org/go-hiking/hikes/west-fork-dosewallips-river,"http://maps.google.com/maps?hl=en&sz=11&spn=0.288219,0.275345&mrsp=0&ie=UTF8&daddr=47.7365,-123.1688&f=d&sll=47.7365,-123.1688&geocode=&t=p&saddr=&z=11&mra=mi",36.0,"Rhododendrons, old growth, and a river that ""talks"" to you most of the way. The West Fork Dosewallips River spends much of its time on this hike hidden, flowing through a deep narrow canyon. But its constant commotion can continuously be heard through the surrounding primeval forest. At times it bellows, at times it serenades, but it's always a trailside companion. At Big Timber Camp the river swings by, allowing the two of you to become better acquainted.This is a delightful hike on gentle terrain-perfect for introducing neophytes to the splendors of the Olympic backcountry or as an early season warm-up. Amble this way in June and see Washington's state flower, the showy Pacific rhododendron, at its finest.Start on the Dosewallips River Trail, a major portal to Olympic National Park's vast wilderness interior. Immediately cross Station Creek as it rushes down from Mount Constance. Reach a junction with the Dosewallips Terrace Nature Trail, which heads down to the river and loops back to the main trail in 0.75 mile-a nice variation for the return.Through dry Douglas-fir forest garnished with salal and rhododendrons, the trail winds above the river. Elk trails periodically pierce the route. These well-worn paths attest to the abundant presence of these majestic beasts. At 1.4 miles come to a junction. Bear left (signed ""Anderson Pass""), dropping 100 feet to the Dose Forks Campground and a sturdy bridge over the glacier-silt-clouded Dosewallips River.Briefly climbing, the way contours around a steep slope, offering a view to the confluence of the Dosewallips and its West Fork. At 2.4 miles reach a bridge that spans a deep slot canyon; the West Fork thunders below. Now high above the west bank of the West Fork, the trail ascends slopes of stilted conifers and lush rhodies. After reaching a bench (elev. 2400 ft) several hundred feet above the river, the trail slowly descends to Big Timber Camp, set amid big boulders and, yes, big timber, sort of. But the real treat is that this spot sits along the river."
993,993,,Lake Dorothy - Lake Bear - Lake Deer,Central Cascades -- Stevens Pass - West,"11.5 miles, roundtrip",1600,3.68 out of 5,(22 votes) Log in to rate,"[Dogs allowed on leash, Established campsites, Waterfalls, Good for kids, Lakes, Ridges/passes]",,Northwest Forest Pass required,,,,http://www.wta.org/go-hiking/hikes/dorothy-lake,"http://maps.google.com/maps?hl=en&sz=11&spn=0.288219,0.275345&mrsp=0&ie=UTF8&daddr=47.6089,-121.3861&f=d&sll=47.6089,-121.3861&geocode=&t=p&saddr=&z=11&mra=mi",326.0,"Day-hikers and backpackers alike visit Lake Dorothy, a very large and beautiful lake less than two miles from the trailhead. Once there, they either rest and play for the day, or continue on to Bear and Deer Lakes, a pair of very pretty smaller lakes deeper in the Alpine Lakes Wilderness. The very ambitious press on to remote Snoqualmie Lake. Lake Dorothy can be crowded on summer weekends, but the other lakes see fewer visitors. Sign in at the trailhead and begin your hike. You'll find the trail to Lake Dorothy generally in good condition, with many sections stabilized by carefully-assembled log cribs. It's about 1.9 miles to the lake, with an 800 foot elevation gain. After the first mile, come to a crossing of Camp Robber Creek. Pause there on the sturdy bridge to appreciate the whitewater rapids, and to enjoy the welcome (in summer) breeze that often blows down the canyon. Then continue on up the trail, encountering additional log cribs. When you reach the outlet of Lake Dorothy, a sign offers the choices of ""Outlet Spur"" straight ahead, or ""Inlet"" and ""Bear Lake"" to the left.Whatever your plans are for the day, begin with the Outlet Spur. In about 100 yards it passes a log jam at the outlet of the lake. Some of the logs are quite large and have been firmly in place for many years. Look carefully and if you feel comfortable, walk carefully a few feet out onto the logs, as many others have done before you. The reward is the best view of Lake Dorothy you will find, looking up the entire 1.5 mile length of the lake with a view of Big Snow Mountain beyond. It's a great photo op, particularly if you arrive early in the morning while the sun still is fairly low in the eastern sky.Then check the creek downstream of the log jam. The outflow is initially very tranquil, and sometimes a dipper bird may be seen foraging in the shallow water.If you plan to go on to Bear Lake, or are seeking a campsite, or are just exploring farther along Lake Dorothy, return to the trail junction. In summer, there is often a posting showing the locations of many camp sites (and a few backcountry toilets) along the eastern and southern shores of the lake. Take the trail toward the Inlet and Bear Lake, but don't expect it to be a lakeshore stroll, for much of the way the route is well above lake level. Occasional paths descend to reach campsites on benches above the lake or sites down at the lakeshore. The route alternates between forested and rocky stretches, and there is some up and down.If you are hiking in August, be alert as you pass bushes along the trail. You are likely to find ripe blueberries edging the trail.After hiking 1.8 miles from the outlet, come to Lake Dorothy's inlet stream. There is no bridge, but in summer the stream can generally be crossed on boulders, though trekking poles may be helpful for balance.Near the southern end of Lake Dorothy, an occasional tall, dead tree offers a perch for ospreys that forage there for fish. Eagles may be seen too.If your plans are for Bear Lake, get ready for some uphill. You'll gain 700 feet in 1.6 miles, on sometimes rough trail to reach the pass to Bear Lake. But the way is eased by occasional enjoyable views down to Lake Dorothy.A short way beyond the pass Bear Lake can be seen glinting through the trees. But the trail takes its time getting you there. It's a half-mile with a drop of 200 feet to get down to the western shore of the lake. This is a nice place to sit a while, relax and have a snack. It's over 5.5 miles from the trailhead, so Bear Lake is the turn-around point for many day-hikers.Deer Lake, a twin of Bear Lake, is not far away. It's only 30 feet lower than Bear Lake, and going there adds less than a mile to your round trip. At one point along the ongoing trail, bits of both lakes will be visible through the trees, so you can check out Deer Lake without going all the way there.If you are backpacking, there are possible campsites along the western shores of Bear Lake and Deer Lake. Also, a path leaving the main trail between the two lakes heads toward a bench between them, and you could investigate that area for additional camping opportunities. Extending Your HikeThe trail continues on beyond Deer Lake toward Snoqualmie Lake, itself a large, beautiful and isolated lake in a forested setting. It's just over a mile from Deer Lake, but there is a downside - literally. Snoqualmie Lake is less than 100 feet higher than Lake Dorothy, and to visit it you have to descend about 500 feet, elevation you'll have to regain on your return. So check your time and assess your energy. If it seems feasible and your interest is high, go for it.A short way beyond Deer Lake, cross a low ridge and soon you will see part of Snoqualmie Lake down below. The view is deceptive. The lake looks very close, but it will take longer than you imagine to work your way down the steep switchbacks and around to the north end, where the trail finally reaches lake level.But, once you are there, enjoy the sandy beach and the great lunch rock that offers a commanding view down the lake. It's a place to relax, and to reflect that you are over seven miles from your trailhead. There is an optional southern approach to Snoqualmie Lake along the Taylor River, but that's an even more imposing hike of 8.3 miles.If you are a backpacker, you can find a few campsites along the north end of Snoqualmie Lake. If you are visiting on a weekday you might have the lake all to yourself."
994,994,,Devils Dome Loop,North Cascades -- North Cascades Highway - Hwy 20,"43.0 miles, roundtrip",6980,3.00 out of 5,(4 votes) Log in to rate,"[Summits, Waterfalls, Ridges/passes]",,NR,,,,http://www.wta.org/go-hiking/hikes/devils-dome,"http://maps.google.com/maps?hl=en&sz=11&spn=0.288219,0.275345&mrsp=0&ie=UTF8&daddr=48.7065,-120.9185&f=d&sll=48.7065,-120.9185&geocode=&t=p&saddr=&z=11&mra=mi",16.0,"The views and beauty on this high come at a steep price. Literally. But those who can soldier through some brutal elevation gain are rewarded by expansive views of breathtaking peaks, and masses of wildflowers on a hike that borders two of Washington's most gorgeous wilderness areas. Climbing 3300 feet in the first 4 miles from the Canyon Creek trailhead, hikers will be only too happy to catch their breath at the ridge. But beware, you might just have it taken away again by the views, which will only improve from here.Panoramas surround you as you progress through Devil's Park  and beneath Jackita Ridge, where WTA work crews did a massive logout over five days in the summer of 2014. Views to the west are commanded by the ever-changing face of Jack Mountain as you hike counter-clockwise around it. Take your time on this hike--most people take between 4 and 5 days in order to fully appreciate every mile. From Devil's Pass, roughly a third of the way through your hike, the high point lies a little more than 5 miles down the trail: Devil's Dome. From here you can enjoy views of Spratt Mountain to the north, Jack Mountain to the south, Ross Lake and the peaks across it to the west, and behind you, peer into the sprawling Pasayten wilderness. Many hikers recommend camping here, if you can find a spot where you'll make minimal impact; sunrises are as good as sunsets from this peak. After the Dome, you'll begin a gradual descent to Ross Lake, where a cool swim in its waters will be excellent refreshment after several days of backpacking. If you started from Canyon Creek, you still have several miles of backpacking along the creek and back up-valley to your car, but since you're bordering Ross Lake with its singularly beautiful waters, it's hardly a boring stretch."
