HikeName	AuthorName	TrailConditions	Road	Bugs	Snow	ReportText	DateHiked	Url
Barclay Lake	jamestm	Trail in good condition	Road suitable for all vehicles	Bugs were not too bad	Snow free	It is a four mile hike up the Forest Road to this trailhead.  Plenty of bumps and potholes, but our minivan was able to make it without a problem.  The parking lot is small, so you'll likely park on the approach to the lot.  This hike is a delight with kids: pretty low elevation gain, low mileage, and a clear straight shot to the lake. The water level is really low right now, so there is more "beach" to explore.  I went "off trail" to get to the large boulder at the west end of the trail: MISTAKE!  On one of the paths through the brushes, you will stumble upon angry, angry wasps that leave you swollen.  Ouch! We had a very sunny and breezy hour at the lake before the rain hit.  But, the forest coverage helped in keeping us dry.  Wonderful trip, ended with a stop at the annual Index Art Fair.	Aug 11, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-13.7176449037
Tolmie Peak Lookout - Eunice Lake	MyTwinLens	Trail in good condition	Road recommended for high clearance only	No bugs	Snow free	The trail head is after 40 minutes of driving on rough gravel speed bump style road. It feels like your wrecking your suspension. Just borrow a friends truck to get here. I drove a Honda CR-V and wished I had a truck. The trail starts at MOWICH lake which is beautiful. No real parking lot at the trail marker so everyone is just off to the side. I started the trail at 4:20 and by 4:45 it was raining buckets. I passed a lot of groups coming back and they said there was no visibility at tolmie peak so I decided to aim for Eunice lake. Made it there but only saw 5ft of the lake. Saw two deer and heard some birds but didn’t see any other animals. I definitely think I will come back on an absolutely cloud free day to do this again and give myself more daylight hours.	Aug 11, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-12.8431855948
Kendall Katwalk	audg86	Trail in good condition	Road suitable for all vehicles	Bugs were not too bad	Snow free	Beautiful trail. We started about 7:45 with plenty of parking left. We set off intending to do an overnight at Ridge Lake. The trail was very nice, gradual incline most of the way. Lots of trail runners here, quite a few section hikers coming SOBO from Stevens, and a few thru-hikers. I’m generally afraid of heights so I was a bit nervous for the Katwalk, but it was plenty wide and very cool to see. On the far side of the Katwalk the weather changed. Very windy and rainy. Bugs weren’t bad at the lake but it was probably the weather. Talked to a few others who said it had been raining by the lakes all day. Hung out for a while but ultimately decided to pack back out. Made for a 15-mile day.	Aug 11, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-12.4682743993
Bead Lake	Lionessmoon	Trail in good condition	Road suitable for all vehicles	Bugs were an annoyance	Snow free	The directions say to drive to the end of the road for the trail head.  The road doesn’t really end there but turns from gravel to dirt. The parking is on the right and easy to find. There is a trail head sign in the parking lot and another at the roadside. We went to look at the roadside sign and somehow missed the actual trail to the left of it going into the woods. We walked a little ways up the dirt road before realizing it wasn’t quite right and backtracking.   The trail can be a little narrow in places, but a really nice little path along the lake.  You spend most of the time up the slope from the lake and get down to water level where streams (some dry) have created valleys.  In case you are hoping for a wilderness lake it’s good to know that there are houses on the end that you start from, and a boat launch. There wasn’t noise or lights from them at the end we camped on.  Also very few people on the trail   We went around 1pm and didn’t see anyone until we set up camp   Then we saw only 4 people.  On the way out we saw someone else camping but most sites were empty.     We hiked almost to the other end, and it doesn’t apparently dead end like the directions say. It meets up with a dirt road.  We met some mountain bikers who came in from that direction and said the trail was hard to find from there.   We didn’t see any big wildlife, but did see moose footprints, a grouse and heard ravens.  It was beautiful, peaceful, and the lake was a great temperature for swimming.  The biggest downside was the wasps and hornets.  They were thick around all the wooded camp areas. They don’t care about DEET and I got stung.  I had to zip my digs into the tent to keep them from getting stung   Some of the low brush is starting to turn autumn orange. Very pretty hike!	Aug 11, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-12.5834935329
Mount McCausland	rawlint	Trail in good condition	Road rough but passable	Bugs were not too bad	Snow free	We arrived at the trailhead at about 9:30am and the lot was 3/4 full.  Be aware there is no privy.  What a glorious day it turned out to be.  We were happily surprised at how nice the weather was despite the forecast for thunderstorms.  We had some very light ran along the trail and it was cloudy but that made it cool and enjoyable.  Because of the weather is seemed to keep the bugs laying down, no bites for us.  We went to the lake first and as we enjoyed our lunch the clouds started to lift and once we started the climb to the McClausland peak the views down to the lake below and in the distant were spectacular.  This is now one of my favorite somewhat easy hikes in Central Washington.  The elevation gain is mostly gradual until you start the steep climb to the peak.  That's where it got a bit dicey.  I made it half way up, high enough for those views, while other members of my group went all the way up.  While they enjoyed the challenge because of the cloud cover on the other side of the mountain they didn't have any views.  It was sunny and cool hike back down to the cars.  That was at 1:30pm and the lot was full with cars parked on the dirt road adjacent to the trailhead parking.	Aug 11, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-12.2600297342
Kennedy Creek Natural Area Preserve	jonesal00	Trail in good condition	Road suitable for all vehicles	No bugs	Snow free	Logging road was great, in between the thunderstorms, mostly flat. We really enjoyed the Kennedy creek salmon educational trail. The trail to the falls was pretty wet/muddy. Hint: you hit the waterfall colvert, you’ve missed the falls trailhead.	Aug 11, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-12.9416762159
Rainy Lake	DZBB	Trail in good condition	Road suitable for all vehicles	Bugs were an annoyance	Snow free	Very easy 1.0 mile hike to a beautiful lake. Trail is flat and we were able to push my son in a stroller. Great for people of all ages. Crystal clear waters with mountains in the backdrop. No bugs. No elevation gain. 	Aug 11, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-12.4277774406
Twin Sisters Lakes	themaddhiker	Trail in good condition	Road rough but passable	Bugs were not too bad	Snow free	Road is gravel and rough (9.5miles) getting to Deep Creek TH, but doable. There were only a few cars at TH parking lot, 1 Horse trailer. There is a Wilderness Permit to fill out there (free) and parking is free with a NWFP. Hike up to the lakes was a short 2 mile steady grade thru trees, very pleasant. The trail comes out to Little Sister Lake and is very pretty and quite a few places to camp. We chose to hike the 1/2 mile to Big Sister lake and camp there. We had the lake pretty much to ourselves. The scenery is beautiful and access to the lake is very easy, many rocks to sit on at shore and soak your feet or go for a swim. We set up camp and left our packs and hiked up to Tumac Mountain. The hike there is pretty moderately easy most the way, the accent up will make you sweat a little but worth the work for the views at the top. You could camp at the top if you packed plenty of water with you. I'd bet it gets windy tho. Looks like there used to be a fire lookout, only foundation blocks now. You have almost 360* views, minus some trees. It was a little hazy when we were there so couldn't see what you probably could on a clear day. I'd definitely hike up again on a clear day just to see what I missed. The next morning we packed up and decided to hike over to Snow Lake to check it out. It was a couple mile backtrack but didn't mind it, pretty easy hike over. Very pretty lake again with a couple camp grounds, no one there. We did see many folks hiking the PCT (which you use to get to snow lake), but they were just passing by. We than made the hike out. This area is usually very Buggy, we sprayed bug spray before coming up on first day. Didn't even use bug spray next day, which probably should of, but it wasn't too bad. I came home with maybe 5 bug bites, so considering the area, it wasn't that bad. Over all Twin Sisters Lakes was a great place to either hang for the day or use for base camp and hike around. 	Aug 11, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-12.1673197944
Dirty Harry's Balcony via the Birdhouse Trail	Denzy88	Trail in good condition	Road suitable for all vehicles	Bugs were not too bad	Snow free	Arrived at the trailhead around 0800.  I thought we got a late start for a Saturday, but with the weather forecast calling for T-Storms and rain, we were only the second car in the lot.  Got off the main trail and ended up at the base of Overhaul (I think).  So we went around and got back up to the main birdhouse trail, so only a minor detour.  After about an hour and a half we made it to the fork where there are a couple of cairns, to the left is the Peak and to the right is the Balcony.  Take a right and in a short distance you will have another fork, stay right until you get to the Balcony,  great views even on an overcast day like today.  The trail going straight is the connector trail to Putrid Pete's Peak.  Gotta do this soon. We then returned back to the main trail and headed up to the peak.  Good workout as elevation begins to change quickly, similar to Mt Washington.  About a half mile from the peak, the trail gets very brushy and today was very wet from the moisture.  My wife decided she was done swatting weeds and branches from her face.  I decided to push forward for another 5 minutes to the peak.  Unfortunately today there was no view because of the clouds.  I should have been able to see upper and lower granite lakes.  Sounds like another trip up on a clear day. Caught back up to my wife about about 20 minutes later and the hike down was nice a cool with a nice breeze.  This is a good hike even on a hotter day because there is plenty of shade and plenty of great views with all the balcony views.  Spent just under 5 hours total.  Next time I would like to visit the museum to see the old truck, but my wife did not want to do anymore bushwhacking today.  Just missed the rain and saw lots of rock climbers on the way down. This is a good hike to prepare for steeper hikes like Mailbox Peak and McClellan Butte.   Be safe and Happy Hiking!	Aug 11, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-12.4801736096
Twin Lakes (Wenatchee)	WordHummingbird	Minor obstacles posing few problems	Road suitable for all vehicles	No bugs	Snow free		Aug 11, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-12.5835029627
Ruby Mountain	Keith T	Obstacles on trail:	    Trees down across trail,	    Overgrown in places.	Road suitable for all vehicles	Phew this was tough. I made it tougher on myself by doing Sourdough Mountain the day before. Sadly I didn't complete the hike - I got to about 6700 feet but didn't want to endure the cold, wet wind with darker clouds coming in. The views were good but much of it was hidden behind the clouds. On the bright side, the smoke from the previous day had cleared out and it was cooler too. Recent bear poop on the trail spooked me a bit, especially after not seeing any humans for hours. But then I bumped into a group on their way down and later ran into a couple groups on their way up. The trail was much easier to follow than I expected, though it was getting more difficult towards the top. Also, I didn't see any running water after the trail branched off. There was a stagnant lake but that's all I saw.	Aug 11, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-11.4556415851
Spider Meadow and Phelps Basin	RedbeardRunning	Obstacles on trail:	    .	Road impassable/closed	No bugs	We had planned an overnight up Phelps Creek to Spider Gap and Lyman Lakes.  Forest service personnel warned us out of the area; there are road closures planned for Sunday and Monday to facilitate firefighting equipment for the nearby Cougar Creek fire.  Be sure to check https://inciweb.nwcg.gov for the latest updates!	Aug 11, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-11.7256531239
Snow Lake	ScottiBlub	Trail in good condition	Road suitable for all vehicles	Bugs were an annoyance	Snow free	Got to the trailhead around 10am and arrived at the late at 12. Met a ranger on the trail who was nice and making sure people didn't have campfires!  Lots of bugs. Started to rain really hard around 1pm.  Lake was very cold! 	Aug 11, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-11.4133362765
Rattlesnake Mountain	levy.russ@gmail.com	Trail in good condition	Road suitable for all vehicles	No bugs	Snow free	Rattlesnake Mountain via Snoqualmie Point Park (exit 27) trailhead is a way to enjoy hiking Rattlesnake Mountain without the crowds found at the Rattlesnake Lake trail head.  The trail was in good shape and the elevation gain is moderate, making it a trail for most hikers.  The first mile climbs steadily through a forested area with a nice creek along the way.  The next 1/2 mile or so rises through an area that was logged years ago.  This section of trail is in need of some brushing as the vegetation is quite high and narrows the trail but not overtaking it.  At 2 miles is the spur trail to Stans overlook. The weather was cloudy so views were limited.  Leaving the junction and several switchback later, the trail is back in a forested area that surrounds the trail all the way to Grand Prospect view point (4 Miles).  Views of North Bend and Mt Si are among some of the features from the view point that can be enjoyed from the two benches that are there. The wild flowers were in full bloom.  Leaving Grand Prospect the trail meanders up the ridge line to East Peak, the turn around point for the hike at approximately the 6 mile point.  A big surprise was all the logging that has been done this past year along the trail.  What was previously a forested hike now is a hike with expansive views through an area recently logged.  At East Peak there are two benches one with views looking down to North Bend and beyond.  There was bear scat along this section of the trail but no bears were observed.  East Peak is a good turn around point if you dont have a car parked at Rattlesnake lake or other means to take one back to Snoqualmie Point Park.  If you do, it is a little over 4 miles to the lake, all down hill.	Aug 11, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-11.2048842342
Ebey's Landing	Muledeer	Trail in good condition	Road suitable for all vehicles	No bugs	Snow free	With the threat of thunderstorms and rain in the mtns, we decided a beach hike would be the best choice. This is always a good hike and today was perfect, cloudy, cool temps and a slight breeze. We welcomed it! If you have not been here for awhile, there are some welcome changes. A new loop trail, the Pratt Loop, which loops thru the forest before meeting the Bluff trail and gives you an additional 1.3 miles of trail. And speaking of new, the old rusty sanican is gone and there is a brand new loo. We elected to do the loop and the Bluff first, then the beachwalk. Check out the huge thatch ant nests in the woods!  The Bluff trail is moderately steep and the tread is sandy. Lots of late flowers, white and pink catchfly, sand verbena, salsify and gumweed. The seagulls must be molting, there were feathers everywhere.  We walked along the beach for awhile, then climbed over the driftwood and followed the trail by Peregos Lagoon. That was very interesting today, the water was down and there were little shorebirds feeding in the rocks. Really interesting to a couple of plant nerds, the pickleweed that grows on the edge of the salty lagoon had very tiny yellow flowers! If you're not in a hurry, it's amazing what you can see! Heading back up the hill, we could see the storm approaching from the west. Yay rain! 	Aug 11, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-11.0233217744
Moss Lake	dmk	Trail in good condition	Road suitable for all vehicles	Bugs were not too bad	Snow free	Arrived around 9:00 AM and despite being a Saturday, we were the only ones there.  Road directions are good, but once there the trail marking is poor.    From the parking area it is not clear which way to head.  We decided to go down the wide gravel road, to the rightish from the parking area.  We came to the creek with the removed culvert but easily crossed on wide/sturdy planks that are in place.  Past the culvert the trail(s) narrow somewhat but are in good condition.  A little while later the trail forks to two trails that are rather parallel to each other, with one being closer to Moss Lake and more scenic.  We went up one and back the other.  The short side-spur trail comes off the main trail/road, not too far from the parking area, and leads to the lake. But it is not clear if there is another trail to the lake - one with the Axelexia display - that we missed.  All-in-all an easy round trip of about 3 miles through some pretty under-story forest.  For some reason I was expecting a loop trail that goes    There is no such lake loop.  Just a few bugs and Ben's DEET did the trick.	Aug 11, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-11.3853892460
Rattlesnake Ledge	Marymoocow	Trail in good condition	Road suitable for all vehicles	No bugs	Snow free	Headed up a few minutes after 5am to catch the sunrise. Took almost exactly an hour to get to the top. We saw two other groups at the top but otherwise were alone on the way up. Heading down around 6:30, we passed several dozen headed up and I can only imagine it gets worse from there so, heading up before 6 is recommended if you'd like any solitude.	Aug 11, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-11.2946154720
Snow Lake	hikinaroundtown	Obstacles on trail:	    .	Road suitable for all vehicles	Bugs were not too bad	Restroom at trail head were "closed for cleaning" (For 4 hours?). There might have been another but I didn't see it. There are toIilets at the lake.  Once I applied the bug spray the bugs left me alone. Once off the I-90, there are a few pot holes so be careful.	Aug 11, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-11.4932439343
West Fork Methow River	WolverineWay	Obstacles on trail:	    Trees down across trail,	    Difficult stream crossing(s),	    Bridge out,	Preface: this is not your usual day hike. I have a strange inclination to go out scouting the trails that time forgot. I read trail reports with a five year gap in any information on them and think, "Well, I should go see what kind of shape it is in. If not me, than who?" Let's call it a research project for the benefit of the trail community, or "advanced scouting" (see also WTA's  ). I'm drawn to some of the more obscure trails you can find on a map of the Cascades - an unforgiving landscape without a well-trodden path. You can imagine what I find: huge downed trees, one upon another; thick, merciless brush; rocky, rain-battered trail that is difficult to follow, step upon, let alone make a good pace on. Patience is a valuable asset here, not to mention fitness, strong ankles, and stubborn shins (although I'm starting to consider bringing my soccer shin guards). I also enjoy a nice long through-hike (aka trail run) rather than doing loops, so I leave a shuttle bike for myself on the other end. Riding a road bike over Rainy Pass and Washington Pass to Mazama at the end of a 24 mile trail day is also non-trivial, but this is not a road bicycle organization, so I'll leave that part out of my report. This traverse covered multiple trail areas: one on the east side of the PCT, the PCT itself, and another trail on the west side of the crest. I had two different experiences on two long neglected trails. I will write about each of them independently for the determined and curious hikers out there (and hopefully a WTA crew leader or two). In the middle of it all is Mebee Pass which hosts a   abandoned fire lookout. I say "nearly" because John Scurlock and friends adopted it in 2013, clearing the East Creek trail and flying in building materials to restore its roof. I had high (but unreasonable) hopes that East Creek would be an easy descent because of this. I should have read Scurlock's description more carefully (see the NWHikers.net link below). Five years of nature doing her thing has not improved the situation. More detail on that below. The good news is the fire lookout is in fine shape. The latest photo hosted on Steph Abegg's climbing blog (also linked) shows the structure -- "the last known L-5 cab" -- from an airplane photo taken by John Scurlock on April 27, 2018. It says: "Uh oh, we seem to have a little issue.....adding some urgency to the next phase of restoration efforts." Well, I have good news for the friends of this fire lookout, and that is the shutters have been repaired! Somewhat miraculously, I can even tell you how. It makes for a real interesting twist in this story, in my opinion. Keep in mind that I saw not a single person on this trail in my entire 8 hour day. One other vehicle pulled in at the Methow trailhead while I was making breakfast. He gave me a scowl (probably for having a hippie VW van with my top popped) and I never saw him again. I saw no one on the PCT even, maybe due to a recent fire closure. Perhaps the detour signs got left up too long? Certainly no one was on the old East Creek trail, but when I popped out at that trailhead, there was a family taking a picnic on the back of their pickup. A very surprised man looked at me and asked "Where did you come from? Where's your car?" I explained my route and he informed me that he had done the EXACT SAME ROUTE in the other direction on Memorial Day Weekend of this same year. He did it as an overnight, probably camping somewhere near the pass. What's even more unbelievable is he also scrambled the 500' up a trail-less ridge to discover the fire lookout  . Then guess what he did? He found the tools stashed in the hut, and he fixed the shutters! What do you believe the odds are that I would meet the one man who did this same obscure thing as me, in reverse, only a few months apart, right at the trailhead? For his journey, he was dropped off on the west side by his wife. The creeks were much more treacherous then, and he was nearly sunk when reaching the Trout Creek crossing on the east side, facing waist deep raging water between him and reaching home (where I had only three rock hops to cross it). I guess these two intrepid souls were bound to meet each other at the East Creek TH! His name was Keith, I believe (I was somewhat delirious when I met him). On this particular day, he drove his wife and young daughter west from the Methow Valley where they live to escape the smoke. He probably chose this spot for its relative quiet on a busy summer weekend (when every pullout on Hwy 20 in the North Cascades is packed with shutter-clicking tourists and giant RVs cooling their engines off) or to reminisce on his difficult passage. Somehow, he was the only man I met on the trail this day, and he knew exactly what I went through to get there. Which leads me to the detailed trail descriptions: This trail is 8 miles of mellow river valley. It should be straight forward and easy to reach the PCT. It is only fairly described as such for 2.5 miles. Then, you reach Trout Creek where the bridge has been washed out for some time now. As I understand it, the locals fear this crossing in the spring. At this time, in a typical dry August, the lion has returned to cub status. It is easy to hop across several dry rocks. Unfortunately, the ease of travel ends here along with the trail maintenance. You will immediately be required to hop fallen trees, apparently from a 2003 burn (total may near 100). Then the brush starts. You can follow the trail well enough. It is just super slow going, like wrestling with quicksand or fist-fighting a jellyfish. If it were only the occasional patch, I would probably not make much mention of it. However, this goes on consistently for five miles. Would any reasonable person hike through this and back out again? I would not. The trail gains a bit of elevation at its very end, maybe 2-300', to join the PCT at Brush Creek. This section is mercifully more clear than near the Methow River itself. I stopped at the bridge over Brush Creek to filter water and refill my bottles. It appears plenty of through-hikers have camped here. Dear Methow Valley Locals: what can you do to restore this trail to its previous glory? The bed is in fine condition. It just needs some brushing and saw work. Harts Pass shouldn't be the only access point to the PCT from Mazama. This one is perfectly viable and should not be lost. Where this trail separates from the PCT was not clear to me. It may have been near the sign that marked 15 miles to Harts Pass and 15 miles to Rainy (10 to Cutthroat). If not for my AllTrails app where I previously loaded the route onto my phone, I may not have found it at all. I knew I shouldn't be crossing the Methow River, at which point I was at least a mile past the turnoff which followed the contour line in a more friendly fashion beneath Azurite Peak (the clouds had socked it in). Once I regained it from taking a B-line uphill from the river (thank goodness for low underbrush after previous trauma), the route was not hard to follow. It was not  , nor exceptionally even, but easy enough to follow for the 2000' of climbing required to reach Mebee Pass. There were also several good water sources. After the pass, which I scrambled up further to check the condition of the fire lookout (see above), the trail was again faint but easy to follow. I am now going to reverse my description of it, presuming readers would be coming from Hwy 20 and the East Creek TH, not Mebee Pass. After crossing Granite Creek (several feet deep in mid-August, I just waded across), the first few miles of East Creek trail are steep and rocky. It has a nice bench and apparently has been maintained all the way to first crossing of East Creek (2.5 miles?). The crossing uses a large fallen tree and regains the forested hillside. You will encounter trailwork from John Scurlock & Friends (see link) in the form of sawed trees, with new large trees fallen over these cleared ones. The trail is faint enough that it is possible to lose the trail in one of these hops, with an occasional flag to set you straight. I still relied on my GPS to keep me close to the track. This was all relatively simple leading up to the old mining relics around the 4 mile mark. Then, all bets are off. You will reach an avalanche path that obliterated any sign of the trail. There is not a trail anymore - there is just a preferred path, which means not wrestling through slide alder over your head. Believe me, I searched in desperation for these paths, as I had no energy left for making my own way. There was occasionally a pink flag and a few random cairns. I would recommend bringing your own flags and boosting these signs once you know   you're on the right path. This may be possible if you luck out on your trip out, and retrace your steps backwards and confidently mark it for the next person. Otherwise, please don't add to the confusion. The prescribed route actually crosses East Creek again after two slide paths, where I dropped a medium size log to use as a bridge next to an existing pink or yellow flag. Going this way, you'll sidehill again up the west side of the creek through some lush meadow with a trench for a trail hiding under the leaves (hard on the ankles). After that, the trail is relatively easy to follow, although you'll be hopping plenty of logs and scanning the forest for the correct route, especially when you cross a few more open meadows. I think reaching Mebee Pass to attain views of the Methow River Valley, Azurite Peak and other nearby monuments are a worthy objective, but we as a community need to do something about these super vague avalanche path crossings. It was discouraging enough to derail my momentum completely - however I had no choice but to find a way through, as I was nearly 20 miles into my day at this point. There was no turning back. I want to recommend this trail, but I cannot suggest venturing through this zone without plenty of energy, determination, and sense of direction (some technology may also help). It would also be nice to see the WTA focus some attention on some of these less popular trails to help distribute the load. Every other trail on Hwy 20 at this time of year is packed to the gills with cars. If we make these trails close-to-perfect for 100+ hikers per day and neglect the older trails, we're only contributing to the problem - concentrating everyone into the same area. Where will someone go to feel truly engaged in the wild, without fully cursing the Cascades for being inhumane and the land that time forgot? Cheers,   ~RyanR>	Aug 11, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-13.3484303232
Snow Lake	climbup	Trail in good condition	Road suitable for all vehicles	Bugs were an annoyance	Snow free	Me and my cousin went on sat afternoon and weather cool side and fog which even snow lake more magical view with fog rolling over the lake as we eat food. I missed how beautiful it can and near by Seattle.	Aug 11, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-12.2866435145
Mount Daniel	Fighting Quaker	Trail in good condition	Road rough but passable	Bugs were an annoyance	Intermittent snow - not hard to cross	The scramble up to the top of Daniel is virtually snow-free, no ice axe or traction required. Air quality in the alpine area around Daniel (anything above 5000 ft) is noticeably hazy and smokey, courtesy of wildfires. Bugs at Peggy's Pond were unpleasant but not unmanageable.  Cle Elum River Road is long and bumpy, but passable with any vehicle, since unbridged Scatter Creek is basically dry. The TH's privy is locked, and parking can be tricky (though we lucked out and snagged a primo spot).  The trail up to Cathedral Pass is well-graded and unremarkable. There is a brand-spanking new toilet at Squaw Lake, and there were a few families camped there. There's been some recent stock use, as evidenced by a decent amount of horse droppings, but otherwise my companion and I had no trouble getting to the junction with the trail to Peggy's Pond.  As the description suggests, the trail is mildly exposed, and has some rather annoying up-and-downs. We ran into a man who was struggling - possibly due to dehydration - and helped him to the best of our (limited) ability. After that bit of Good Samaritan-ism, we quickly found ourselves at the glorified tarn that is Peggy's Pond. It boasts a web of social trails and   privies, which seems a bit extravagant to my primitive sensibilities. The photo below shows the campsite we chose, perched in a large flat area next to a creek and small waterfall. We kept an eye on distant Daniel's summit, and with the cloud cover soon turning into surprisingly heavy rain we opted to wait until the next day to make our ascent. Luckily, the wind and rain kept the bugs at bay, and we largely survived bite-free. : As day two dawned, a friendly ranger wandered by to alert us about the fire ban and inquire as to our itinerary. As I talked with her, the clouds dispersed somewhat, and soon we started the long trek up to the summit ridge. There's a few ways to gain the SE summit ridge - featuring various amounts of steep scree, rock-hopping, and dirt - but they all converge around 7000 ft. From there, it's a standard ridge-line traverse to 7200 ft, at which point you can either cut right across a snowfield to a saddle south of Mt Daniels' East Peak or continue scrambling the ridge up to around 7600 ft, at which point it drops down to the same saddle. We opted to take the ridge, as did most of the other parties we observed that day: unsurprising, as the snowfield would be a bad place to take a fall. : There's a gnarly scree slope to traverse, but it's doable with a trekking pole, and after that it's mostly a matter of walking at varying levels of steepness to the summit pyramid. There's a single small snow patch, but it's hardly more than 20 feet across, and relatively flat. Between the wildfire haze and the persistent cloud cover, our views from the summit were minimal, and we did not linger long. As we descended, the smell of smoke grew stronger, and the haze increased noticeably, no doubt due to shifting winds. While it was a shame our views from the top weren't better, we had a peaceful camp, plenty of whiskey, and a strenuous (but not overly technical) summit as a reward.	Aug 11, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-12.1609215812
The Enchantments	happyfuntimes	Obstacles on trail:	    .	Road suitable for all vehicles	No bugs	A long, difficult hike but well worth the effort. Spectacular views at every turn! We left the Stuart Lake trailhead around 7 am and arrived at the Snow Lakes trailhead at 10 pm, so the entire hike took 15 hours including several stops for food and water filtration. There were very few bugs throughout. I recommend bringing poles, even if you don't normally use them, because of the over 7000 feet of elevation loss. I also recommend bringing a pair of gardening gloves for scrambling over boulders - the rocks can be quite sharp. Bring a water filter and a headlamp (we finished the hike in the dark) and a printed map. Even with the map and following the cairns we lost the trail at times. Stay safe and good luck! 	Aug 11, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-12.6522491579
Sherpani Peak	Adam_G	Minor obstacles posing few problems	Road suitable for all vehicles	No bugs	Snow free	My friend and I headed to a rarely scrambled peak called Sherpani. This is an off trail route requiring a fair amount of navigation and then some class 3, occasionally class 4 scrambling. The road to the Paddy-Go-Easy trail was in excellent condition. By the time we reached the trailhead around 9:30 am, there were already several cars parked there. We ascended the trail. The flowers had mostly died down, but there were ripened huckleberries, although most were not ripe. There also were scattered thimbleberries. We stopped around 5,800 feet where you run into the talus field to your north. We then turned left off trail. There is no bootpath to guide you. If you end up around 6,000 feet where the illegal fire ring is, you've gone to high, and you'll end up scrambling across the talus field. If you go too low, you'll be bushwhacking through the forest. If you skirt just to the bottom of the talus field, you can avoid the boulders and also the major brush. On the way there, there were ripe blueberries. We also found occasional boothpaths which we believe to be the old Paddy-Go-Easy trail which was substantially rerouted. We traversed in a northwesterly direction under the slope of the Paddy-Go-North peak and over to a very obvious large drainage which runs east. There, we found the obvious miner's trail that avoids the boulders and runs up the drainage in the forest. This passed a caved in mine. We then reached the pass which runs between Paddy-Go-North and Point 6564. From here, there were pretty nice views of the The Cradle. Your next goal is to attain the saddle between point 6564 and Sherpani. It seems logical to traverse around the side of the basins quite high to get there. This is not a good route  because it is rocky and slow going. We descended to the greenery and stayed low to pass over the east ridge of 6564. Once into the second basin, we ascended the obvious gully to our desired saddle. Prior to this point, it was just an off trail hike. It now became a scramble. Additionally, the finding the route became challenging. The ultimate goal is the east ridge of Sherpani. There was a vertical rock shelf running along there and a fairly flat boulder field below it. This boulder field terminates in a very obvious saddle along the east ridge of Sherpani. We went there, but realized after the fact that is not the best route. There was actually a bootpath at the saddle and even some cairns. But the route was a bit exposed with at least one challenging technical move where there were few handholds or footholds. It's best left for the more experienced. A bit closer to the peak on the ridge from the obvious saddle, there is another subtle sloped saddle. This should be your destination, not the obvious saddle. The most straightforward way to get there is to travel along the boulder field and just attain it directly. That route is a lot of loose dirt, loose rock, and slippery vegetation. It's not very steep, but steep enough that you may slip and bruise your ego. Another possibility is to jump onto the rock shelf. Although the rock shelf is essentially vertical at first near the saddle between Sherpani and 6564, it does look like you could scramble it if you travel a bit east. Some reports suggest that you can take that up. From below, it looked like it would either be straightforward or be fairly technical with quite a bit of exposure, and perhaps end up completely cliffed out. We did not explore that option. Once you make it to the proper entry point, the route to the summit is fairly straightforward. You travel an obvious path counterclockwise around the peak and then climb up into an obvious keyhole. This takes you to just below the summit rock. There is a wide platform there with a fair amount of exposure on your right but a nice rock wall to your left. You then can climb up a larger boulder and pretty much avoid the exposure by hugging the rock. This takes you to another nice platform. The final push is up onto a large coffin shaped rock which is the true summit. It's a complicated move to get up there, and pretty technical. We stood on our tiptoes, just enough to grab the summit register and signed it without truly submitting. Once we were on the summit, it started raining, so we headed down and put on our rain gear, which promptly stopped the rain. We made it back to the trailhead around 5:30 pm.	Aug 11, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-12.7610270851
