title,region name,uid,average_rating,elevation_gain,highpoint,mileage,mileage_type,tripreport_count,campsites,coast,dogs_ok,foliage,kids_ok,lakes,mountains,old_growth,ridges,rivers,summits,waterfalls,wildflowers,wildlife
Asahel Curtis Nature Trail,Snoqualmie Region -- Snoqualmie Pass,2b014004bd8ac413d9fd370af6fa4088,2.85714285714,180.0,2000.0,0.5,1,44,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Palouse to Cascades Trail - Crab Creek,Central Washington,2b0e34f61a934999a79a7d51cb2b3c15,0.0,None,None,None,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salmon-Morgan Creeks Natural Area,Southwest Washington,2b1141890bd64d3cbc39643017fae007,3.5,None,None,1.5,1,20,0,0,1,1,1,0,0,1,0,0,0,0,0,1
Horsemans Pack,North Cascades -- North Cascades Highway - Hwy 20,2b2164cf31a14301a288f8e87a962a37,0.0,None,None,None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chipmunk Rd (FS 1802),South Cascades,2b2c4e8d56731f314945609994a62dc6,1.0,None,None,None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lighthouse Marine Park,Puget Sound and Islands -- Bellingham Area,2b2ef71663654d4c9d5fcd1613b7633a,0.0,None,None,None,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1
Baker Lake - Horseshoe Cove Snowshoe,North Cascades -- Mount Baker Area,2b38744ed4cec82237bfcad92f00e19e,0.0,None,None,None,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bearcat Ridge,Central Cascades -- Entiat Mountains/Lake Chelan,2b574c57417941ab8cff3f65be03a0d6,0.0,None,None,None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ginkgo Petrified Forest Interpretive Trails,Central Washington -- Potholes Region,2b5d4a3c1065dfccaa357662861c9695,3.0,200.0,2600.0,3.0,1,36,0,0,1,0,1,0,0,1,0,0,0,0,1,1
McKenzie Conservation Area,Eastern Washington -- Spokane Area/Coeur d'Alene,2b69e40dece24d46b2c0a5abda88ec88,0.0,436.0,2434.0,3.3,4,27,0,0,1,1,1,1,1,0,0,0,0,0,1,1
Verlot Nature,North Cascades -- Mountain Loop Highway,2b6c1ebd9d8b14cf4f1b058ad81afea9,3.0,None,None,None,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rock Creek - Red Pass Loop,Snoqualmie Region -- Snoqualmie Pass,2b78a8b8417b456ab65f6dd5d220f99c,0.0,5600.0,5400.0,17.0,1,13,0,0,0,0,0,0,1,1,1,1,0,1,0,0
Sehome Arboretum,Puget Sound and Islands -- Bellingham Area,2b8267fcc84cba0b9f88724886585c53,2.4,None,None,6.0,1,12,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Barrier Peak,Mount Rainier Area,2b92fe9f9d1bbb243e6aec5093d7518f,2.5,None,None,None,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Freds Mountain,North Cascades -- Pasayten,2b9b9d9dbd3c4fe7be9a209344a0e534,0.0,9000.0,7814.0,None,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0
Cedar River Trail,Puget Sound and Islands -- Seattle-Tacoma Area,2bc154a0ecbf377887fc7b8db306cfd8,3.625,820.0,600.0,17.4,5,36,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Tennant Lake and Hovander Homestead Trails,Puget Sound and Islands -- Bellingham Area,2bf2f91b961d0221e44807213597af64,5.0,None,None,1.0,1,6,0,0,0,0,1,1,1,0,0,0,0,0,1,1
Port Gamble Forest - Beaver Pond Trail,Olympic Peninsula -- Kitsap Peninsula,2c01426976324547983034999eb86ee5,3.0,None,None,2.0,1,10,0,0,1,0,1,1,0,0,0,0,0,0,0,1
Palouse to Cascades Trail - Ellensburg Trailhead,Central Washington -- Yakima,2c078dd1a453d70f48824e6dffdaffa9,2.0,None,None,None,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Upper Eagle Lakes,North Cascades,2c0e70e8c14954744ff9f63bc2bb22ec,2.25,None,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Peak,Mount Rainier Area -- NW - Carbon River/Mowich,2c11db0ff086dce6286b218b50c7bb76,3.22222222222,900.0,3700.0,6.2,1,61,0,0,0,0,0,0,0,1,0,0,1,0,0,1
White Chuck Bench,North Cascades -- Mountain Loop Highway,2c28084fbaab782ec8f674c356a7ca16,2.72727272727,None,None,5.0,1,164,0,0,1,0,1,0,1,0,1,1,0,0,1,0
Smith Creek,South Cascades -- Mount St. Helens,2c45c9715bdb270261d454e6cbd28750,3.25,200.0,1800.0,6.0,1,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Scatter Peak,Snoqualmie Region -- Salmon La Sac/Teanaway,2c5579514afa4636d14bf9cb7a777f14,2.66666666667,None,7031.0,None,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Basin Lake,South Cascades,2c5683ebdd2ed9f1e25836a8324cde03,2.2,None,None,None,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mount Higgins,North Cascades -- Mountain Loop Highway,2c5bbcb494b215fe5fda1d335c7aa6cc,3.0,3400.0,4849.0,9.0,1,162,0,0,0,1,0,1,1,1,1,0,1,0,1,1
Brush Creek,North Cascades,2c5f36bdd8ca5a6d55363b8e03a991a6,2.0,None,None,None,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robinson Canyon - Ainsley Canyon,Central Washington -- Yakima,2c62b7b4a2b68d0eb81108120663c663,3.16666666667,1200.0,3400.0,10.0,1,87,0,0,1,0,1,0,0,0,0,1,0,0,1,1
Mount Redoubt,North Cascades,2c6d618b941a4d28b0d5afe644b0ae2c,0.0,None,8956.0,None,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
Gazzam Lake Nature Preserve,Puget Sound and Islands -- Seattle-Tacoma Area,2c6e8d090d31d4df97683903221f8a74,4.08333333333,500.0,380.0,6.8,1,54,0,1,1,0,0,1,1,0,0,0,0,0,0,1
Soda Springs ,Mount Rainier Area -- Chinook Pass - Hwy 410,2c7251c8ff294a42885e75243edc0262,0.0,None,None,None,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Camas Meadows,Central Cascades -- Blewett Pass,2c93d0e3aa1b0253d009f6e70028c3a7,2.0,350.0,3200.0,2.0,1,22,0,0,0,1,1,0,0,0,0,0,0,0,1,0
Rasar State Park,North Cascades -- North Cascades Highway - Hwy 20,2cd4f3a01da8d48d090d416fbd80a3d3,3.6,20.0,125.0,3.0,1,40,1,0,1,0,1,0,1,1,0,1,0,0,0,1
Wanlick Creek,North Cascades,2cea9ce4b9af27d5e0a0aef25fd6c346,3.0,None,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marten Creek Snowshoe,North Cascades -- Mountain Loop Highway,2cf89237ea6578522247b7049e7d58ba,2.5,1300.0,2800.0,7.5,1,32,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Melakwa - Pratt Lake Traverse,Snoqualmie Region -- North Bend Area,2d09ea7cce744768a58e98dd2effb26e,0.0,2300.0,4700.0,11.7,1,99,1,0,1,0,0,1,1,0,1,0,0,1,0,0
Suiattle Pass,Central Cascades,2d14ed3bda60f58d3ba87968423bcd06,2.25,None,None,None,1,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snoqualmie Ridge Trail Network - Deer Park Trail,Snoqualmie Region -- North Bend Area,2d303f83d7424aefb628e7ccb48b99d4,0.0,None,None,1.78,1,4,0,0,0,0,1,1,0,1,0,0,0,0,0,1
Larch Mountain (Silver Star),Southwest Washington -- Lewis River Region,2d3345ae2e254ff5b4150db697f3e9d7,4.0,1150.0,3496.0,5.6,1,8,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Whistler Canyon Trail,Eastern Washington -- Okanogan Highlands/Kettle River Range,2d3ccf96f1e404eb0ffc73968d28b7ef,4.0,3000.0,3930.0,24.0,1,31,1,0,1,1,1,1,1,1,0,1,1,1,1,1
Iron Creek Falls,South Cascades -- White Pass/Cowlitz River Valley,2d3e28cb9dd1a8386a2f47146fc057de,4.2,100.0,2800.0,0.1,5,14,0,0,1,0,1,0,0,1,0,1,0,1,0,0
Lake Whatcom Park - Chanterelle Trail,Puget Sound and Islands -- Bellingham Area,2d55ef8074c2416bb70bc7e788b4e761,4.0,1000.0,1000.0,4.8,1,37,0,0,1,1,0,0,1,1,0,0,1,0,0,0
Louis Peak,North Cascades -- Methow/Sawtooth,2d714c5ba5a048fa9dbea77397676b07,0.0,None,None,None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drop Creek Spur,Central Cascades,2d7fccc75d00f7f74a551b9172e82298,2.75,None,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Hylebos Wetlands,Puget Sound and Islands -- Seattle-Tacoma Area,2db4dfef804588d0820e4ac7ddf89108,3.375,0.0,70.0,1.2,1,21,0,0,0,1,1,1,0,0,0,0,0,0,0,1
Magnet Creek,Snoqualmie Region -- Salmon La Sac/Teanaway,2de2403ad0424099f382fb80aa28ee0b,2.8,2300.0,4400.0,6.0,1,22,0,0,1,0,0,0,1,0,1,0,0,0,1,0
Tubal Cain Mine to Buckhorn Lake,Olympic Peninsula -- Hood Canal,2df6a013140951a18bd2d098e3023028,3.92857142857,2000.0,5200.0,12.0,1,289,1,0,1,0,0,1,1,0,1,0,0,0,1,0
Sultan River Canyon Trail,Central Cascades -- Stevens Pass - West,2e03eccc43904787a2961a9241620f17,3.5,900.0,1700.0,4.0,1,78,0,0,1,0,1,0,0,0,0,1,0,1,0,0
Tumwater Pipeline Trail,Central Cascades -- Stevens Pass - East,2e144abb0d3291da952b9c1221b7f9d5,3.5,100.0,1400.0,2.4,1,80,0,0,1,1,1,0,1,0,0,1,0,0,1,1
Devils Peak,North Cascades -- Mountain Loop Highway,2e1f165d5c144c29a82921106ca1cb85,0.0,None,5456.0,None,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
Thompson Creek,North Cascades,2e693880645d9cc1389e9aee74c87baa,2.66666666667,None,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Fork Skykomish River,Central Cascades -- Stevens Pass - West,2e6bf3f4c22e47ad0d136a6d4d930825,2.6,1000.0,4000.0,10.0,1,80,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Four Pillars,Snoqualmie Region -- Salmon La Sac/Teanaway,2e70acd002c546ddb052760c9b3d6734,0.0,None,None,None,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lava Butte,South Cascades -- Dark Divide,2eacf4ee21efc1fece1d8fe47c302bba,3.16666666667,1100.0,2400.0,3.0,1,8,1,0,1,1,0,0,0,0,0,1,0,0,1,0
Grass Mountain West,Mount Rainier Area -- Chinook Pass - Hwy 410,2eb177c19c32f7b584d27c09cb245c69,2.0,None,4382.0,8.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burroughs Mountain,Mount Rainier Area -- NE - Sunrise/White River,2ed1feb5b6f27ef907ae767930ada60f,4.39655172414,2500.0,7828.0,9.0,1,772,0,0,0,1,1,0,1,0,1,0,1,0,1,1
Mount Wow,Mount Rainier Area -- SW - Longmire/Paradise,2ee53067cf7a447294ae299e03e21c6a,3.0,3800.0,6040.0,4.0,1,9,0,0,0,0,0,0,1,0,1,0,1,0,0,0
Monte Carlo,Southwest Washington -- Columbia River Gorge - WA,2f15a6e124a65418fba9c824c9f1d5d7,1.75,2560.0,3360.0,10.0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,1,0
Grace Cole Nature Park,Puget Sound and Islands -- Seattle-Tacoma Area,2f2cbfd280584e70aa5c9cf163a546a4,0.0,120.0,360.0,0.5,1,2,0,0,1,1,1,0,0,0,0,0,0,0,1,1
Mount Finn,Central Cascades -- Stevens Pass - West,2f386f285a03943c0bb285e6ac3a726c,1.0,None,None,None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nolte State Park,Mount Rainier Area -- Chinook Pass - Hwy 410,2f3d4d6d7ba74b658f5477e46a229ee1,5.0,None,None,1.45,1,24,0,0,1,0,1,1,0,0,0,0,0,0,0,1
Sharpe Park - Sares Head,Puget Sound and Islands -- Bellingham Area,2f407fc18fea4bf28c0ffc5a57b03dc7,4.2,440.0,490.0,2.1,1,102,0,1,1,1,1,1,1,0,0,0,1,0,1,1
Fishtrap Lake - North,Eastern Washington -- Spokane Area/Coeur d'Alene,2f4ae0ac64c3bbbe7add46cd947b337e,1.5,126.0,None,4.0,1,12,0,0,0,0,0,1,0,0,0,0,0,0,1,1
Aasgard Pass,Central Cascades -- Leavenworth Area,2f694e151ede8091892f020690c4bf67,4.28571428571,4400.0,7800.0,12.2,1,444,0,0,0,1,0,1,1,0,1,1,0,1,0,0
Gilbert Peak,South Cascades -- Goat Rocks,2f7d52307bd644e528c730acd36eb199,0.0,4600.0,8184.0,20.0,1,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Standup Creek,Snoqualmie Region -- Salmon La Sac/Teanaway,2f8a5f348f2c597c4644c98588380340,1.83333333333,3100.0,6200.0,14.4,1,66,0,0,0,0,0,0,1,0,1,0,0,0,1,0
North Kitsap Heritage Park,Olympic Peninsula -- Kitsap Peninsula,2f95b88f5c7c43759052e98c5f2256a0,0.0,None,None,None,1,14,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Baker Preserve,Puget Sound and Islands -- Bellingham Area,2f9a299930730ce9b7091a57e0273fb0,4.33333333333,1000.0,1050.0,3.2,1,33,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mount McCausland,Central Cascades -- Stevens Pass - East,2f9b1af256c74a94aec87cc48244d961,4.77419354839,1800.0,5747.0,7.0,1,301,0,0,1,0,0,1,1,0,0,0,1,0,1,0
Mount Peak (Pinnacle Peak),Puget Sound and Islands -- Seattle-Tacoma Area,2fa36ea670094f4f38d3261c72614608,3.17391304348,1000.0,1800.0,1.8,1,185,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Mount Hardy,North Cascades -- North Cascades Highway - Hwy 20,2fad22fc59494a2e8399960c1c0746a0,0.0,4299.0,7924.0,4.68,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Poo Poo Point ,Issaquah Alps -- Tiger Mountain,2fadd3e051dd37f5a1b7a57aece5bb09,3.81981981982,1858.0,2021.0,7.2,1,782,0,0,1,0,0,0,1,0,0,0,0,0,1,1
Crossover,South Cascades,2fde899b0f4f3696083ee95184a2ffc9,3.25,None,None,None,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Fork Asotin Creek to Pinkham Butte,Eastern Washington -- Palouse and Blue Mountains,2fdf27a9d16a4a4294f4a286c8aa7c03,0.0,1750.0,3080.0,20.0,1,7,1,0,1,0,0,0,0,1,0,0,0,0,1,1
Obstruction Point Road Snowshoe,Olympic Peninsula -- Northern Coast,2ff77c59a034de9599cf608bfe3c43e3,5.0,None,None,None,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lake Roesiger,Puget Sound and Islands -- Seattle-Tacoma Area,301d565538174053a5fa3a32db9062cf,0.0,None,None,None,1,7,0,0,1,0,1,1,0,0,0,0,0,0,0,0
Pinnacle Saddle Snowshoe,Mount Rainier Area -- SW - Longmire/Paradise,3029c9fc60fe8f9c8f4cad9bff10cc90,3.5,1400.0,6100.0,6.0,1,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Alger Alp (North Route),Puget Sound and Islands -- Bellingham Area,302ed8a3ad63450cbbf6de2dc1b18625,2.0,1000.0,1303.0,5.0,1,4,0,0,0,1,0,1,1,0,1,0,1,0,0,0
Grindstone Trail,Mount Rainier Area,303c163174bcaeb380a00dd688f48420,4.0,None,None,None,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Green Ridge Lake,Snoqualmie Region -- North Bend Area,3040db219cb64de58a8a0e63c0a73a9a,0.0,None,None,None,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Watt Canyon,Snoqualmie Region -- Cle Elum Area,30528cd9cdbd45d6a47ac86013361825,2.5,1000.0,3100.0,6.0,1,24,0,0,0,0,1,0,0,0,0,0,0,0,1,1
Carbon River Rain Forest Nature Trail,Mount Rainier Area -- NW - Carbon River/Mowich,30550dba18ef0e8cfe139fd39818a6c0,3.25,80.0,1960.0,0.5,1,15,0,0,0,0,1,0,0,1,0,0,0,0,0,1
Rocky Brook Falls,Olympic Peninsula -- Hood Canal,305e6f5db6e02c873c4b95551b4261f6,3.28571428571,0.0,None,0.1,1,78,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Big Four Ice Caves,North Cascades -- Mountain Loop Highway,306ed85c80eb2763a20be5fe57748874,3.9696969697,220.0,1938.0,2.2,1,879,0,0,1,0,1,0,1,1,0,1,0,1,0,0
Bordeaux Ghost Town,Olympic Peninsula -- Olympia,3070a815f7ce4a47a1d4e7df53f97892,3.5,None,None,None,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kukutali Preserve,Puget Sound and Islands -- Bellingham Area,30b74918474148f19a3b92e00c695375,4.0,200.0,230.0,2.2,1,78,0,1,0,1,1,0,0,1,0,0,0,0,0,1
Squaretop Mountain,Central Cascades -- Entiat Mountains/Lake Chelan,30b851e7c145428599290c4c8d7d7a48,0.0,None,None,None,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puget Park - Seattle,Puget Sound and Islands -- Seattle-Tacoma Area,30bfcb2850c3429fab633c4b82ef7d38,2.0,None,None,5.0,4,3,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Swan Creek Park,Puget Sound and Islands -- Seattle-Tacoma Area,30d91d491b105128a60f9e1ff49a0bb1,3.77777777778,None,None,2.4,1,66,0,0,1,1,1,0,0,1,0,1,0,0,0,0
Pine Creek,South Cascades -- Mount St. Helens,30e1ce9d40bd65d62e46e436d87699dc,4.5,200.0,3125.0,2.2,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Cascade Lookout,Snoqualmie Region -- North Bend Area,30ead0bc74b44c5151357ec2ab50a7db,3.5,None,None,None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kololo Peaks,North Cascades -- Mountain Loop Highway,310d78f8425a4476841ae99ec73decea,0.0,None,None,None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beaver Pond Trail,Puget Sound and Islands -- Bellingham Area,3113c28d5a4d47ed9df528ea85dedb79,0.0,None,None,1.6,1,9,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Antoine Peak Conservation Area - Canfield Gulch,Eastern Washington -- Spokane Area/Coeur d'Alene,31153f0366b44e1088c6b6ccc22e7d34,4.0,1030.0,3366.0,5.3,1,15,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Banshee Peak,Mount Rainier Area -- NE - Sunrise/White River,3122d3b5d3cfce3e04ed90442d8c6546,1.0,None,7400.0,None,1,35,1,0,0,0,0,1,1,1,1,1,1,1,1,1
Spray Park,Mount Rainier Area -- NW - Carbon River/Mowich,31247d1de12b6f9b093c1f5163775f69,4.25,1700.0,6500.0,8.0,1,627,0,0,0,0,0,0,1,1,0,0,0,1,1,1
Rainbow Falls Mist Trail,Central Cascades -- Entiat Mountains/Lake Chelan,31268510a69d44c89ca193b0fc5988a9,0.0,30.0,1200.0,0.25,1,10,0,0,0,1,1,0,0,1,0,0,0,1,0,0
Guillemot Cove,Olympic Peninsula -- Kitsap Peninsula,314abd70215aa9de59c8e529ce24403a,4.13333333333,360.0,360.0,2.5,1,93,0,1,0,0,1,0,1,1,0,1,0,0,0,1
Fire Mountain/Meadow Mountain,North Cascades -- Mountain Loop Highway,31515e855801498ca077d10fe6fd8254,0.0,None,None,None,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cripple Creek Falls,Snoqualmie Region -- Snoqualmie Pass,316788c11cc971b3b1a15824eaa13eeb,0.0,None,None,None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sand Ladder,South Cascades,316a1832432ae2f19b3fcd4d51197657,2.66666666667,None,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Whistler Basin,North Cascades,318e1a9d35e14e8a9b4ab95d2f59511f,3.25,None,None,None,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Fork Quinault River,Olympic Peninsula -- Pacific Coast,31a715c876f34907b0a66139fb76be65,0.0,None,None,None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Whitman Crest,Mount Rainier Area -- NE - Sunrise/White River,31ba80b5fbe04554bcedb73af30e265f,5.0,None,None,None,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Disappointment State Park - North Head Lighthouse and Bell's Overlook,Southwest Washington -- Long Beach Area,31bb906421d1608614ed2daf3821c9bc,3.8,25.0,200.0,0.75,1,44,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Gold Lake,Central Cascades -- Stevens Pass - West,31c21c85786eb82cd4f5e529e6797fb2,1.5,None,None,None,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point Whitehorn,Puget Sound and Islands -- Bellingham Area,31cfd7389f699fc0a65ed38fed4fee4b,3.0,0.0,0.0,4.0,1,19,0,1,0,1,1,0,1,0,0,0,0,0,1,1
Coyote Creek,Issaquah Alps -- Cougar Mountain,31f88e7060ff45589ec779fcd2ba3495,5.0,None,None,None,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kettle Crest Trail,Eastern Washington -- Okanogan Highlands/Kettle River Range,320b776e7d32472fb49661c7ff980540,5.0,8000.0,7140.0,44.0,5,13,1,0,1,0,0,0,0,0,0,0,1,0,1,1
Mount Pugh,North Cascades -- Mountain Loop Highway,324f4186459475440402e17b30714ceb,4.31034482759,5300.0,7201.0,11.0,1,356,0,0,0,1,0,1,1,1,1,0,1,0,1,1
Joseph Whidbey State Park,Puget Sound and Islands -- Whidbey Island,325927d8a4533f8d1da8e1bba8a57c41,0.0,None,None,None,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carkeek Park,Puget Sound and Islands -- Seattle-Tacoma Area,32607c6c51cc8ee2bada871e07657d1c,3.76923076923,800.0,240.0,3.5,1,88,0,1,1,0,1,0,1,0,0,0,0,0,1,1
Gold Creek - Alaska Lake,Snoqualmie Region -- Snoqualmie Pass,326de9d59c1106dcf1e4d8b1e956bf1c,2.58333333333,2024.0,4624.0,14.0,1,222,1,0,1,0,0,1,1,0,0,1,0,1,0,0
Sycamore Access Trail,Issaquah Alps -- Squak Mountain,3280e9d627634218a8888ef91af80385,4.0,1200.0,1400.0,3.5,1,9,0,0,1,1,1,0,1,0,0,0,0,0,0,1
Cutthroat Pass via Cutthroat Lake,North Cascades -- North Cascades Highway - Hwy 20,329334a39196bda1afd38b3e8ca40e1f,3.625,2300.0,6800.0,11.4,1,160,0,0,1,1,0,0,1,0,1,0,0,0,1,0
Cape Disappointment State Park - North Head Trail,Southwest Washington -- Long Beach Area,329c16811dab4ab29f56957339ef1bf8,0.0,420.0,200.0,1.8,5,15,0,1,1,0,0,0,0,1,0,0,0,0,0,0
Indian Head Peak,Central Cascades,32a6ab33066abf010a9d43e18b1db27b,3.0,None,None,None,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mosier Creek Falls and Mosier Plateau,Southwest Washington -- Columbia River Gorge - OR,32b517d12d934c748689ffe7e1a60cc9,5.0,540.0,581.0,2.5,1,13,0,0,0,0,1,0,0,0,0,1,0,1,1,0
Wiseman Lake,North Cascades,32b817705ab6132d1e98cabe6dba0de0,3.25,None,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red Hill,Central Washington -- Wenatchee,32c47b394e6f8f698bf77b03fa8ea914,3.0,2180.0,3840.0,11.0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taylor Mountain - Mount Beaver Trail,Issaquah Alps -- Taylor Mountain,32cc35a8c4744be7b03405da5fc654c9,0.0,150.0,800.0,1.84,5,3,0,0,1,1,1,0,0,0,0,0,0,0,0,1
Monument 83,North Cascades,32cfe233d7f138faed34fdb98b792c96,2.5,None,None,None,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anderson Lake State Park,Olympic Peninsula -- Hood Canal,32d7eb588d824c87b6b9cc7ad4ed0e83,2.0,80.0,320.0,8.0,4,11,0,0,1,0,1,1,0,1,0,0,0,0,1,1
Four Springs Lake Preserve,Puget Sound and Islands -- Bellingham Area,32d9752b8bcaaad88fe80a7529b48fa8,1.0,None,None,1.6,1,7,0,0,0,0,1,1,0,0,0,1,0,0,1,1
Snoqualmie Pass to Olallie Meadow,Snoqualmie Region -- Snoqualmie Pass,32eff8aca6c04095a539a68bd13885eb,0.0,None,None,12.0,1,12,0,0,1,0,1,0,1,0,1,0,0,0,1,0
Driveway Butte,North Cascades -- North Cascades Highway - Hwy 20,32f24682179f4d07729fb283f813c13e,3.4,3030.0,5982.0,8.0,1,83,1,0,0,0,0,0,1,0,0,0,1,0,1,1
Pyramid Creek,North Cascades -- North Cascades Highway - Hwy 20,330fb392072949e48e586533fca352c8,0.0,None,None,None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Verne Samuelson Trail,Olympic Peninsula -- Northern Coast,3316ae4e8bae71854a0f9ef27c06879a,3.0,None,None,3.0,1,3,0,0,1,0,1,0,1,0,0,0,0,0,0,1
Dishman Hills Conservation Area - Iller Creek,Eastern Washington -- Spokane Area/Coeur d'Alene,333ea5f4e93646e449ea541ca1241ef9,3.88888888889,1200.0,3200.0,5.0,1,92,0,0,1,1,1,0,1,0,1,0,0,0,1,1
Washtucna Coulee - Kahlotus Railroad Grade,Central Washington -- Tri-Cities,336bc0018ca1a5b49eea8fbed2990761,3.75,30.0,900.0,8.0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1
Mountain Home Ridge,Central Cascades -- Leavenworth Area,336fa71df8b94f1ba10b06625440bd64,0.0,None,None,None,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cathedral Rock,Snoqualmie Region -- Salmon La Sac/Teanaway,33776ce5ccf1256ceb924ab5154e21b5,3.30769230769,2200.0,5600.0,9.0,1,281,1,0,0,0,0,1,1,0,1,0,1,0,1,1
West Fork Methow River,North Cascades -- Methow/Sawtooth,338a1e531f8ae32dbacf15f114177b9a,3.6,1600.0,4280.0,15.8,1,39,0,0,1,0,0,0,0,0,0,1,0,0,1,1
North Fork Sauk Falls,North Cascades -- Mountain Loop Highway,338fabd99c5442cdef9a1cafb8a71658,4.0,200.0,1500.0,0.4,1,70,0,0,1,0,1,0,0,1,0,1,0,1,0,0
West Butte,Eastern Washington -- Palouse and Blue Mountains,339d7c8051a79bff74ea136ce828dd20,3.0,None,5504.0,None,1,8,0,0,0,1,0,0,1,1,1,0,0,0,1,1
Crystal Peak,Mount Rainier Area -- NE - Sunrise/White River,33a40669d134957a673da6277601aa1f,4.03846153846,3100.0,6595.0,8.0,1,255,0,0,0,0,0,0,1,1,0,0,1,0,1,1
Skookum Flats,Mount Rainier Area -- Chinook Pass - Hwy 410,33c34e740ab07e659d4b42543c3f1859,3.46666666667,300.0,2550.0,7.8,1,307,0,0,1,0,1,0,1,1,0,1,0,1,1,1
Horse Lake Reserve,Central Washington -- Wenatchee,33c40f0d71e34dd694ecb28ab58d34de,4.5,700.0,2410.0,5.2,1,44,0,0,0,1,1,0,1,0,0,0,1,0,1,1
Cathedral,Eastern Washington,33de65046396306643cde91ac10eb168,2.75,None,None,None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
