,hike_name,hike_id,numReports,total_dist,elevation gain,time_from_seattle,Wildlife,Rivers,Summits,Good for kids
732,Upper Siouxon Creek,732,5.0,8.4,700.0,197.966666667,0,1,0,0
733,Elk Creek Falls,733,1.0,2.1,300.0,369.416666667,0,0,0,1
734,Lower Gold Creek Basin Snowshoe,734,75.0,4.0,400.0,54.5833333333,0,0,0,0
735,Youth-on-Age Interpretive Trail,735,2.0,,,79.2166666667,1,0,0,1
736,Marten Creek Snowshoe,736,21.0,7.5,1300.0,83.4,0,0,0,0
737,Cape Horn,737,37.0,7.7,1300.0,178.883333333,1,1,0,0
738,Artist Point Snowshoe,738,115.0,4.0,1000.0,171.166666667,0,0,0,1
739,Gold Creek-Alaska Lake,739,127.0,11.0,1600.0,58.7,0,1,0,0
740,Rachel Lake,740,452.0,8.0,1600.0,82.4333333333,0,0,0,0
741,John Wayne Trail - Rattlesnake Lake,741,85.0,11.0,300.0,38.3833333333,1,0,0,1
742,Moncton Ghost Town,742,1.0,2.5,20.0,38.2166666667,0,0,0,1
743,Carne Mountain,743,87.0,8.0,3600.0,194.433333333,0,0,1,0
744,Cleman Mountain - Waterworks Canyon Loop,744,26.0,6.0,2000.0,148.0,1,0,0,0
745,Crystal Mountain Resort,745,8.0,,,103.583333333,0,0,0,0
746,Burnt Bridge Creek Greenway Trail,746,1.0,16.2,200.0,159.183333333,1,0,0,1
747,Westside Road,747,16.0,,,117.633333333,0,0,0,0
748,Mount Si - Creekside Loop,748,0.0,,,40.2666666667,0,0,0,1
749,Ridgefield National Wildlife Refuge,749,9.0,2.0,100.0,145.266666667,1,1,0,1
750,Lacamas Park - Lacamas Creek,750,4.0,4.5,350.0,167.55,1,0,0,1
751,Lacamas Heritage Trail,751,7.0,,,166.433333333,1,1,0,1
752,Steigerwald Lake National Wildlife Refuge,752,5.0,,,169.35,1,0,0,1
753,Whipple Creek Park,753,8.0,3.1,110.0,148.983333333,0,0,0,1
754,Busywild Overlook Snowshoe,754,1.0,6.5,900.0,119.4,0,0,0,0
755,South Access Road,755,13.0,,,32.3833333333,1,0,1,0
756,Snow Bowl Hut Snowshoe,756,8.0,9.0,2000.0,121.483333333,0,0,0,0
757,Heather - Maple Pass Loop,757,263.0,7.2,2000.0,180.566666667,1,0,0,0
758,Lower Big Quilcene River,758,72.0,10.0,800.0,126.15,0,1,0,0
759,South Coast Wilderness Trail - Toleak Point,759,49.0,17.0,250.0,228.583333333,0,1,0,0
760,Mosier Plateau,760,5.0,2.5,540.0,216.916666667,0,1,0,1
761,Coyote Wall,761,15.0,8.25,1630.0,233.35,0,1,0,0
762,Yellow Banks,762,2.0,,,,0,0,0,0
763,Colonial Peak,763,1.0,,,,0,0,1,0
764,Chair Peak,764,2.0,9.0,6244.0,54.6666666667,0,0,1,0
765,McCroskey Memorial State Park,765,1.0,,,303.683333333,0,0,0,0
766,Mount Spokane State Park - Upper Trail 140,766,7.0,3.0,1341.0,312.1,1,0,1,1
767,Tonga Ridge / Mount Sawyer,767,233.0,8.0,1200.0,133.633333333,0,0,1,1
768,Peek-a-boo Lake,768,52.0,5.0,1500.0,101.266666667,0,0,0,1
769,Slate Creek,769,9.0,6.0,3700.0,265.45,1,0,0,0
770,Ladder Creek Falls,770,12.0,0.4,660.0,135.916666667,0,0,0,1
771,Sundown Lake Way Trail,771,6.0,2.0,100.0,246.466666667,0,0,0,0
772,Cape Alava,772,34.0,6.2,100.0,258.416666667,0,0,0,1
773,East Crater,773,4.0,5.0,900.0,275.133333333,0,0,0,0
774,Turnbull National Wildlife Refuge,774,5.0,5.5,2300.0,250.933333333,1,0,0,1
775,Finch Arboretum,775,0.0,,,246.916666667,0,0,0,1
776,Little Giant Pass,776,49.0,10.0,4000.0,173.45,0,1,0,0
777,Enchantment Park,777,3.0,,,136.983333333,1,0,0,1
778,Freund Canyon,778,1.0,7.3,1800.0,138.416666667,0,0,0,0
779,Mount Si via Mount Teneriffe Road Trail,779,46.0,9.0,2950.0,41.45,0,0,0,0
780,Hawk Creek - Lake Roosevelt NRA,780,5.0,4.5,900.0,251.2,0,0,0,0
781,Twin Lakes,781,4.0,2.0,325.0,,0,0,0,0
782,Manresa Grotto,782,1.0,,,,0,0,0,0
783,Gibralter Mountain,783,2.0,,,327.616666667,0,0,0,0
784,Wilson Creek,784,1.0,5.6,220.0,134.233333333,0,0,0,0
785,Courtney Peak,785,2.0,,,,0,0,1,0
786,Bobs Lakes,786,0.0,3.0,390.0,,0,0,0,0
787,Wilson Creek,787,0.0,2.0,100.0,,1,0,0,0
788,Swanson Lakes,788,0.0,,,243.266666667,1,0,0,1
789,Florence Lake,789,0.0,4.5,50.0,,0,0,0,0
790,Boyer Park Bluffs,790,0.0,4.0,1550.0,,0,0,0,0
791,Golden Stairway,791,4.0,6.0,2300.0,289.65,0,0,0,0
792,Potters Pond Fishing and Observation Platform,792,0.0,,,344.05,0,0,0,1
793,Sherlock Peak,793,2.0,7.0,1580.0,408.1,0,0,1,0
794,Old Stagecoach Trail to Copper Butte,794,1.0,6.0,1640.0,383.15,0,0,0,0
795,Columbia Mountain,795,10.0,7.5,1400.0,304.533333333,1,0,1,0
796,Twin Lakes and Lake Lillian,796,104.0,9.0,2000.0,65.3833333333,1,0,0,0
797,Evergreen Mountain Lookout,797,88.0,2.8,1425.0,136.633333333,0,0,0,1
798,Cold Creek Loop via Tinkham and Silver Peaks,798,79.0,8.0,2600.0,61.2166666667,0,0,0,0
799,Silver Star Mountain,799,39.0,4.0,1000.0,215.216666667,0,0,1,0
800,Blue Lake and Sheep Canyon via South Fork Toutle,800,7.0,4.5,1000.0,198.566666667,1,0,0,0
801,Blake Island State Park,801,5.0,8.0,190.0,58.4166666667,1,0,0,1
802,Bridle Trails State Park,802,11.0,3.5,450.0,21.0333333333,1,0,0,1
803,Mount Spokane Nordic Trails,803,2.0,,,295.3,1,0,1,1
804,Fort Ebey State Park,804,29.0,4.0,520.0,118.333333333,0,0,0,1
805,Black Lake,805,17.0,8.0,780.0,279.166666667,1,0,0,1
806,Glacier View,806,81.0,4.0,900.0,119.716666667,0,0,1,1
807,Irely Lake and Big Creek,807,8.0,2.2,200.0,195.716666667,0,0,0,0
808,North Fork Quinault River-Halfway House,808,39.0,10.2,400.0,198.483333333,0,0,0,0
809,Lila Lake,809,26.0,11.0,2800.0,82.2833333333,0,0,0,0
810,West Cady Ridge to Benchmark Mountain,810,135.0,14.4,3700.0,126.316666667,0,0,0,0
811,Bird Creek Meadows,811,17.0,3.0,500.0,290.0,0,0,0,1
812,Looking Glass Lake,812,0.0,15.0,2400.0,264.95,1,0,0,0
813,McClellan Butte,813,277.0,9.0,3700.0,41.4,0,0,1,0
814,River To Rock Trail,814,3.0,1.0,200.0,189.8,0,1,0,1
815,Hope and Mig Lakes,815,32.0,5.0,1550.0,100.383333333,0,0,0,1
816,Scorpion Mountain,816,1.0,8.0,2500.0,110.35,0,0,1,0
817,Hardy Ridge,817,7.0,9.5,1860.0,192.233333333,0,0,0,0
818,Lyle Cherry Orchard,818,13.0,5.0,1050.0,234.25,0,0,0,0
819,Wahclella Falls,819,5.0,1.8,350.0,,0,0,0,1
820,Forest Park - Ridge Trail Loop Hike,820,3.0,,,168.916666667,0,0,0,0
821,Ginkgo Petrified Forest Interpretive Trails,821,15.0,3.0,200.0,127.683333333,0,0,0,1
822,Tumwater Pipeline Trail,822,25.0,2.4,100.0,133.083333333,1,0,0,1
823,Ice Cave - Natural Bridges Nature Trails,823,1.0,0.25,2900.0,254.216666667,0,0,0,0
824,Lake Hills Greenbelt,824,2.0,2.3,50.0,16.8833333333,1,0,0,1
825,Spray Park Loop,825,3.0,16.0,5100.0,125.033333333,0,0,0,0
826,Yakima Area Arboretum and Botanical Garden,826,2.0,,,,1,0,0,1
827,Glacier Basin Loop,827,0.0,11.5,3100.0,112.633333333,0,0,1,0
828,Gobblers Knob,828,75.0,11.0,2565.0,121.633333333,0,0,0,0
829,Icicle Gorge Nature Loop,829,66.0,4.2,150.0,167.083333333,1,0,0,1
830,Silver Lakes,830,64.0,11.0,3400.0,156.7,0,0,0,0
831,Dirty Face Ridge,831,11.0,7.5,3000.0,202.216666667,0,0,1,0
832,Flat Creek,832,2.0,11.0,500.0,,0,1,0,0
833,Upper Stehekin Valley Road Trail,833,5.0,22.8,1100.0,,0,0,0,0
834,Grizzly Bear Ridge,834,2.0,8.2,1300.0,279.983333333,0,0,0,0
835,Edds Mountain,835,3.0,11.1,1916.0,334.3,1,0,1,0
836,Hidden Lake Lookout,836,245.0,8.0,3300.0,152.15,0,0,1,0
837,Holden to Hart Lake,837,6.0,9.0,1000.0,,0,0,0,0
838,Obstruction Point-Deer Park,838,28.0,15.0,1600.0,175.85,0,0,0,0
839,Sherman Pass Snowshoe Loop,839,5.0,6.0,1000.0,331.866666667,0,0,0,0
840,Hall Mountain,840,16.0,14.0,4130.0,405.3,1,0,1,0
841,Sullivan Lake,841,4.0,8.2,250.0,367.883333333,0,0,0,0
842,Sawtooth Lakes Loop,842,2.0,24.0,4200.0,235.133333333,0,0,1,0
843,Howard Lake,843,1.0,3.3,600.0,,1,0,0,1
844,Chain Lakes Loop,844,141.0,8.0,1700.0,171.7,1,0,0,1
845,Bagley Lakes,845,30.0,2.0,150.0,162.866666667,0,0,0,1
846,Table Mountain,846,81.0,2.6,725.0,171.7,0,0,0,0
847,Artist Ridge - Huntoon Point,847,51.0,1.2,200.0,171.166666667,0,0,0,1
848,Wild Goose,848,12.0,1.4,1100.0,,0,0,0,0
849,Rainbow Loop,849,8.0,4.4,1000.0,,0,0,0,1
850,Rainbow Falls Mist Trail,850,1.0,0.25,30.0,,0,0,0,1
851,Stehekin River Trail,851,0.0,7.6,100.0,,1,0,0,1
852,Buckner Orchard Walk,852,0.0,1.6,1200.0,,0,0,0,1
853,West Fork Agnes Creek,853,1.0,,,,0,0,0,0
854,Dock Butte,854,37.0,4.4,1500.0,132.166666667,0,0,0,0
855,West Tiger 3,855,311.0,5.0,2100.0,23.9,0,0,0,0
856,Leadbetter Point,856,8.0,10.6,50.0,212.083333333,0,0,0,0
857,Evans Creek Preserve,857,49.0,4.2,325.0,29.4333333333,1,0,0,1
858,Cutthroat Lake,858,41.0,3.8,400.0,193.4,0,0,0,1
859,Peabody Creek Trail,859,6.0,5.6,800.0,152.15,0,1,0,1
860,Townsend Mountain,860,7.0,,,,0,0,0,0
861,Blue Lake,861,33.0,1.7,300.0,131.15,1,0,0,1
862,Riverside State Park - Little Spokane River,862,10.0,6.8,1010.0,265.716666667,0,1,0,1
863,Snoqualmie Mountain,863,122.0,3.8,3105.0,53.6333333333,0,0,0,0
864,Skyscraper Mountain,864,55.0,8.0,1300.0,143.383333333,1,0,1,0
865,Franklin Ghost Town,865,29.0,2.5,200.0,52.3666666667,0,0,0,1
866,Lower Gray Wolf River,866,128.0,8.4,800.0,142.333333333,0,1,0,1
867,Navaho Pass,867,185.0,11.0,3000.0,117.166666667,1,0,0,0
868,Navaho Peak,868,111.0,12.0,4223.0,117.116666667,0,0,1,0
869,Mowich Lake Snowshoe,869,53.0,10.0,1400.0,102.183333333,0,0,0,0
870,Miller Peninsula-Thompson Spit,870,22.0,5.0,360.0,120.35,0,0,0,1
871,Lake Keechelus Snowshoe,871,12.0,4.0,200.0,54.5666666667,0,0,1,1
872,Lake Valhalla Snowshoe,872,32.0,13.0,1700.0,108.966666667,0,0,0,0
873,Mazama Ridge Snowshoe,873,62.0,6.0,900.0,144.45,0,0,0,0
874,Lake Kelcema Snowshoe,874,35.0,10.0,1600.0,88.6333333333,1,0,0,0
875,Heliotrope Ridge,875,159.0,5.5,1400.0,149.633333333,0,0,0,1
876,Deer Park to Maiden Peak,876,1.0,9.0,900.0,175.866666667,1,0,1,0
877,Mount Persis,877,97.0,4.0,2658.0,81.2166666667,0,0,0,0
878,Skyline Divide,878,210.0,9.0,2500.0,161.75,0,0,0,0
879,Bare Mountain,879,165.0,8.6,3300.0,99.55,1,0,1,0
880,Fremont Lookout,880,166.0,5.6,800.0,143.383333333,1,0,0,1
881,Chetwoot Lake,881,1.0,,,,0,0,0,0
882,Scott Creek,882,1.0,,,,0,0,0,0
883,Pea Soup Lake,883,1.0,,,,0,0,0,0
884,Old Kettle Falls Trail,884,1.0,,,,0,0,0,0
885,Knapsack Pass,885,60.0,2.9,1300.0,124.85,0,0,0,0
886,Spade Lake,886,20.0,25.6,2300.0,113.433333333,0,0,0,0
887,Tommy Thompson Trail,887,5.0,6.6,25.0,81.1833333333,1,0,0,1
888,Whiskey Bend to Hurricane Hill,888,1.0,,,,0,0,0,0
889,Wildcat Mountain,889,1.0,,,,0,0,0,0
890,Buck Creek Pass,890,78.0,,,190.2,1,0,0,0
891,Madrone Crest Trail,891,2.0,,,,1,0,0,0
892,Lake Valhalla,892,227.0,7.0,1500.0,100.15,0,1,0,1
893,Wild Horses Monument,893,10.0,0.4,150.0,127.633333333,0,0,0,0
894,Blue Lake,894,137.0,4.4,1050.0,184.45,1,0,0,1
895,Eagle Lakes,895,20.0,12.0,2480.0,245.466666667,0,0,0,0
896,Rennie Peak,896,1.0,15.0,4500.0,,0,0,0,0
897,Pipestone Canyon Rim Trail,897,9.0,9.0,1700.0,244.766666667,0,0,0,0
898,Falls Creek Falls,898,5.0,,,240.0,0,0,0,1
899,Mount Catherine,899,155.0,3.0,1330.0,63.5,0,0,1,1
900,Silver Peak,900,151.0,5.6,2100.0,61.2166666667,0,0,1,0
901,Leroy Creek High Route,901,52.0,,,,0,0,0,0
902,Spider Meadow and Phelps Basin,902,133.0,13.0,1900.0,194.433333333,1,0,0,0
903,Liberty Ghost Town,903,0.0,1.0,50.0,97.1,0,0,0,1
904,Wellington Ghost Town,904,3.0,2.0,20.0,110.816666667,0,0,0,1
905,Lester Ghost Town,905,14.0,7.5,300.0,114.65,0,0,0,1
906,Shadow Lake-Sunrise Camp Loop,906,31.0,3.5,200.0,143.383333333,1,0,0,1
907,Wright Mountain,907,34.0,11.4,5430.0,53.8,0,0,1,0
908,Old Sauk River Trail,908,113.0,6.0,150.0,90.4833333333,0,1,0,1
909,Schaefer Lake,909,28.0,10.0,2700.0,151.183333333,0,0,0,0
910,Estes Butte,910,24.0,8.5,2900.0,155.816666667,0,0,0,0
911,Dege Peak,911,29.0,4.0,600.0,143.383333333,1,0,0,1
912,Red Mountain (Commonwealth Basin),912,83.0,11.0,2900.0,66.1,0,0,0,0
913,Lake Ann (Mount Baker Highway),913,111.0,8.2,1900.0,168.916666667,0,0,0,1
914,Tradition Lake Loop,914,31.0,2.9,150.0,23.8833333333,1,0,0,1
915,Horseshoe Lake,915,28.0,,,171.05,0,0,0,0
916,Summerland - Panhandle Gap,916,281.0,12.0,2950.0,106.783333333,1,0,0,0
917,Camp Muir,917,244.0,8.0,4640.0,144.45,1,0,0,0
918,Emmons Moraine,918,16.0,3.0,900.0,112.633333333,0,0,0,0
919,Mirror & Cottonwood Lakes,919,14.0,6.0,650.0,82.65,0,0,0,0
920,Anderson and Watson Lakes,920,133.0,4.0,1100.0,150.633333333,0,0,0,1
921,Two Dollar Trail,921,2.0,,,94.0333333333,0,0,0,0
922,Port Susan Nature Conservancy,922,1.0,,,,0,0,0,0
923,Camp Sekani Park,923,1.0,,,,0,0,0,0
924,John C. Shields Park (Minnehaha),924,1.0,,,,0,0,0,0
925,West Fork Humptulips River,925,8.0,10.0,700.0,184.166666667,1,0,0,0
926,Queets River,926,15.0,10.0,200.0,198.833333333,0,0,0,0
927,North Fork Sol Duc River,927,5.0,12.4,1200.0,202.416666667,0,0,0,0
928,Tatoosh Ridge,928,66.0,8.0,2600.0,162.733333333,0,0,1,0
929,Scatter Lake,929,20.0,8.5,3850.0,276.033333333,0,0,1,0
930,Thunder Creek,930,121.0,12.0,1300.0,149.75,0,1,0,1
931,Glacier Vista-Panorama Point,931,29.0,5.0,1300.0,144.45,0,0,0,0
932,Longs Pass,932,125.0,5.0,2100.0,140.466666667,0,0,0,0
933,Starway,933,2.0,11.0,2377.0,207.883333333,0,0,1,0
934,Minotaur Lake,934,90.0,3.5,1905.0,147.733333333,0,0,0,0
935,Spruce Nature Trail (Hoh),935,12.0,,,239.683333333,1,0,0,1
936,Bluff Mountain,936,7.0,12.0,890.0,208.966666667,0,0,1,0
937,Lyman Lakes,937,12.0,20.0,2700.0,,1,0,0,0
938,Meeks Table,938,9.0,,,201.65,0,0,0,0
939,Oak Creek Road - Bethel Ridge,939,5.0,6.5,800.0,150.0,0,0,0,1
940,White Chuck Bench,940,41.0,,,124.316666667,0,1,0,1
941,Tiger Mountain Trail South,941,62.0,4.0,600.0,35.7833333333,1,0,1,0
942,Tiffany Lake,942,4.0,3.0,200.0,281.666666667,0,0,0,0
943,Slab Camp Creek and Upper Gray Wolf River,943,61.0,5.5,1100.0,152.433333333,0,1,0,1
944,Sharpe Park - Montgomery - Duban Headlands,944,28.0,1.5,300.0,90.45,1,0,0,1
945,Upper South Fork Skokomish River,945,56.0,8.0,1100.0,153.783333333,0,1,0,0
946,Quartz Creek,946,61.0,8.4,1500.0,125.433333333,0,1,0,0
947,Peabody Creek Loop Trail,947,1.0,,,152.65,0,1,0,1
948,Cathedral Rock,948,158.0,9.0,2200.0,149.283333333,1,0,1,0
949,Paradise Point State Park,949,6.0,,,142.233333333,0,1,0,1
950,North Fork Skykomish River,950,52.0,10.0,1000.0,126.8,0,1,1,0
951,Mount Spokane - Trail 100,951,9.0,7.0,650.0,291.2,1,0,0,0
952,Mitchell Peak,952,4.0,5.0,2100.0,192.933333333,0,0,1,0
953,Middle Fork Snoqualmie River,953,250.0,12.0,200.0,69.65,1,1,0,1
954,Lakes Trail,954,26.0,5.25,1550.0,143.566666667,1,0,0,0
955,Lower Dungeness River,955,40.0,12.6,1000.0,159.216666667,0,1,0,0
956,Johnson Peak-Lily Basin,956,49.0,12.0,1900.0,171.5,0,0,0,0
957,Kalaloch - Browns Point,957,6.0,4.0,25.0,189.2,0,0,0,1
958,June Lake,958,19.0,2.8,200.0,194.166666667,1,0,0,0
959,Horseshoe Basin,959,75.0,12.0,1550.0,354.8,1,0,0,0
960,Hannegan Pass and Peak,960,225.0,10.4,3100.0,166.266666667,1,0,1,0
961,Goat Mountain,961,34.0,6.0,1600.0,177.9,0,0,1,0
962,East Fork Foss - Necklace Valley,962,206.0,18.0,3400.0,95.1666666667,0,1,0,0
963,West Fork Dosewallips River,963,36.0,8.4,900.0,,0,0,0,0
964,Lake Dorothy - Lake Bear - Lake Deer,964,326.0,11.5,1600.0,108.066666667,0,0,0,1
965,Cultus Creek,965,7.0,4.0,1100.0,,0,0,0,0
966,Red Town Meadow & Trails,966,52.0,1.5,150.0,22.4833333333,0,0,0,1
967,Sky Country,967,3.0,,,24.6,0,0,0,1
968,Chelan Lakeshore Trail,968,76.0,17.0,1600.0,,1,0,0,0
969,CCC Road: Lower Trailhead,969,15.0,8.0,550.0,41.5,0,0,0,0
970,Marmot Pass via Upper Dungeness River Trail,970,118.0,16.2,3500.0,188.8,0,1,0,0
971,Blue Lake Creek,971,14.0,4.8,2100.0,157.4,0,0,0,0
972,Bells Mountain,972,8.0,15.4,1100.0,170.7,0,0,1,0
973,Carbon Glacier,973,53.0,21.4,1000.0,101.633333333,0,1,0,1
974,Lower Lake Trail,974,3.0,1.0,120.0,164.2,0,0,0,1
975,Augspurger Mountain - North,975,2.0,2.8,1100.0,233.583333333,0,0,1,0
976,Asahel Curtis Nature Trail,976,27.0,0.5,180.0,48.5833333333,0,0,0,1
977,Lake Ballinger Park,977,3.0,,,19.15,0,0,0,1
978,Ruston Way,978,9.0,,,,0,0,0,1
979,Glacier Gap,979,1.0,,,,0,0,0,0
980,Trapper Lake,980,1.0,,,,0,0,0,0
981,Patterson Mountain,981,16.0,4.0,1070.0,230.25,0,0,0,1
982,Cooper River Snowshoe,982,10.0,8.0,400.0,107.483333333,0,0,0,0
983,Coldwater Peak,983,7.0,12.0,2000.0,164.266666667,0,0,0,0
984,South Coldwater Trail,984,52.0,7.0,1400.0,156.9,1,0,0,0
985,Ala Spit,985,4.0,1.0,10.0,98.2,1,0,0,1
986,Crofton Butte,986,2.0,4.0,600.0,247.983333333,0,0,0,0
987,Riley Camp,987,4.0,10.0,2280.0,213.333333333,0,0,0,0
988,Mount Adams Highline,988,13.0,22.2,1550.0,225.133333333,0,0,0,0
989,Killen Creek to High Camp,989,25.0,10.0,2300.0,217.133333333,1,0,0,0
990,Adams Creek Meadows,990,5.0,8.0,2300.0,217.083333333,0,1,0,0
991,Crescent Glacier,991,0.0,7.0,3800.0,288.533333333,0,0,0,0
992,Three Fingers,992,89.0,15.0,4200.0,136.833333333,0,0,1,0
993,Manastash Ridge,993,44.0,4.0,1700.0,163.0,0,0,0,0
994,Alta Mountain,994,93.0,12.0,3300.0,82.8166666667,0,1,1,0
995,Fisher Lake,995,23.0,10.0,1580.0,115.7,1,0,0,0
996,Standup Creek,996,38.0,8.0,3100.0,108.616666667,0,0,0,0
997,Shriner Peak,997,114.0,8.5,3434.0,114.266666667,0,0,0,0
998,Picture Lake,998,7.0,0.5,4200.0,161.7,0,0,0,1
999,North Creek Park Boardwalk,999,31.0,,,31.6333333333,0,0,0,1
1000,Second Beach,1000,40.0,4.0,350.0,230.516666667,0,0,0,0
1001,Schmitz Preserve Park,1001,4.0,1.7,220.0,14.1,1,0,0,1
1002,Lime Kiln State Park,1002,9.0,1.25,50.0,209.65,0,0,0,0
1003,Margaret Lake,1003,104.0,6.0,1800.0,65.3833333333,0,0,0,0
1004,Lake Ethel,1004,24.0,9.5,3500.0,119.633333333,1,0,0,0
1005,Observation Peak,1005,24.0,5.0,500.0,227.75,0,0,1,0
1006,Blue Lake High,1006,38.0,,,146.783333333,0,0,0,0
1007,Peggy's Pond,1007,82.0,11.0,2300.0,146.766666667,0,0,0,0
1008,Icicle Ridge Lookout,1008,5.0,11.0,4700.0,,0,0,0,0
1009,Holden Village to High Bridge,1009,2.0,,,,0,0,0,0
1010,Meander Meadow - Dishpan Gap - Cady Ridge Loop,1010,47.0,16.0,5600.0,177.083333333,1,1,0,0
1011,Indian Creek,1011,41.0,8.0,800.0,155.933333333,1,1,0,0
1012,Dirtyface Lookout and Peak,1012,107.0,9.0,3950.0,129.583333333,0,0,0,0
1013,Merritt Lake and Lost Lake,1013,113.0,5.5,2100.0,120.466666667,0,0,0,0
1014,Mount Mastiff via Merritt Lake,1014,4.0,,,120.366666667,0,0,0,0
1015,Mount David,1015,46.0,14.0,5800.0,155.933333333,0,1,1,0
1016,Nason Ridge,1016,83.0,21.9,3800.0,133.9,0,0,0,0
1017,Rock Mountain via Snowy Creek,1017,46.0,9.0,3600.0,142.216666667,1,0,1,0
1018,Frosty - Wildhorse Creek,1018,53.0,,,,1,1,1,0
1019,Poe Mountain via Irving Pass,1019,25.0,5.0,1800.0,187.366666667,0,0,1,0
1020,Heather Lake (near Lake Wenatchee),1020,74.0,7.0,1350.0,181.083333333,0,0,0,1
1021,Glasses Lake,1021,7.0,10.0,700.0,172.583333333,0,0,0,0
1022,Trail of the Cedars,1022,5.0,,,135.833333333,1,0,0,0
1023,Easy Pass,1023,76.0,7.0,2800.0,173.833333333,0,0,0,0
1024,Sourdough Mountain,1024,97.0,11.0,5085.0,147.6,0,0,0,0
1025,Happy-Panther,1025,13.0,12.5,550.0,153.55,1,0,0,0
1026,Granite Lakes Trail,1026,96.0,,,44.2333333333,1,0,0,0
1027,Castle Rock Riverfront Trail,1027,1.0,3.4,150.0,113.916666667,0,0,0,1
1028,Golden Gate,1028,24.0,3.2,1000.0,144.45,1,0,0,0
1029,Skyline Lake,1029,31.0,2.5,1050.0,100.266666667,0,0,0,0
1030,Mountain Lake,1030,10.0,3.9,50.0,230.583333333,1,0,0,1
1031,Domerie Peak,1031,18.0,,,121.7,0,0,0,0
1032,Squak Mountain's East Side Loop,1032,19.0,8.0,1700.0,22.5666666667,0,1,0,0
1033,Rock Trail,1033,59.0,2.4,1200.0,83.6833333333,0,0,1,0
1034,Mosquito Valley,1034,5.0,9.0,600.0,189.783333333,1,0,0,0
1035,Palisades Lakes,1035,82.0,7.5,1800.0,137.85,1,0,0,0
1036,Noble Knob,1036,167.0,5.0,500.0,114.533333333,0,0,0,1
1037,Dalles Ridge,1037,27.0,1.8,200.0,117.883333333,0,0,1,0
1038,Big Tree Trail,1038,13.0,1.0,110.0,23.75,1,0,0,1
1039,Hidden Lake (Lake Wenatchee),1039,26.0,1.6,220.0,136.233333333,0,0,0,1
1040,Cussed Hollow,1040,1.0,5.0,600.0,240.5,1,0,0,0
1041,Grace Lakes,1041,27.0,4.0,500.0,101.15,0,0,0,0
1042,Thunder Woods Nature Trail,1042,2.0,1.2,305.0,149.816666667,0,0,0,1
1043,Thunder Knob,1043,55.0,3.6,635.0,149.033333333,0,0,0,1
1044,Lily Lake and Lizard Lake,1044,72.0,8.2,1080.0,75.5166666667,0,0,0,0
1045,Louise Lake,1045,7.0,2.0,300.0,142.883333333,0,0,0,1
1046,Deception Pass State Park - West Beach Sand Dunes,1046,15.0,,,94.3833333333,1,0,0,1
1047,Tatoosh Lakes,1047,14.0,5.0,2500.0,166.8,1,0,0,0
1048,Damon Point,1048,39.0,4.0,10.0,153.85,1,0,0,1
1049,Golden Horn - Snowy Lakes (PCT),1049,33.0,23.0,2700.0,180.45,0,0,0,0
1050,Woodard Bay Conservation Area,1050,5.0,,,68.8,0,0,0,1
1051,American Lake,1051,16.0,14.0,1000.0,109.416666667,0,0,0,0
1052,Lunds Gulch,1052,54.0,2.5,425.0,31.6833333333,0,0,0,0
1053,Guemes Mountain,1053,15.0,2.3,550.0,118.233333333,0,0,1,0
1054,Eight Peaks Tour,1054,1.0,25.0,5889.0,293.933333333,1,0,1,0
1055,Heart O' the Forest,1055,4.0,,,161.333333333,0,0,0,1
1056,Ollalie Creek Camp,1056,1.0,5.6,1600.0,120.316666667,0,0,0,0
1057,Deer Creek to Tipsoo Lake,1057,1.0,10.0,2100.0,111.133333333,0,0,0,0
1058,Young Hill and Bell Point,1058,4.0,2.0,600.0,209.0,1,0,0,1
1059,Little Bear Trail,1059,11.0,2.3,250.0,183.933333333,1,0,0,1
1060,Whistler Canyon Trail,1060,13.0,24.0,3000.0,280.933333333,0,1,1,1
1061,Quinault River-Pony Bridge-Enchanted Valley,1061,60.0,5.0,900.0,209.5,1,0,0,1
1062,Enchanted Valley,1062,76.0,26.0,1700.0,209.583333333,0,0,0,1
1063,Shady Lane,1063,14.0,,,131.15,0,0,0,1
1064,Packwood Lake,1064,128.0,10.0,600.0,149.05,0,1,0,1
1065,Glacier Peak Meadows,1065,2.0,25.0,4350.0,152.45,0,0,0,0
1066,Hyas Lake,1066,90.0,4.0,100.0,149.35,0,0,0,1
1067,Kalama River,1067,1.0,8.0,500.0,209.9,1,1,0,1
1068,Rainy Lake,1068,40.0,13.0,2700.0,68.7166666667,0,0,0,0
1069,Rainbow Lake,1069,9.0,,,180.483333333,0,0,0,0
1070,Lily Lake Loop,1070,3.0,5.5,1200.0,83.15,0,0,0,1
1071,Siouxon Peak Loop,1071,2.0,15.3,5120.0,196.3,0,1,1,0
1072,Goat Creek Loop,1072,2.0,20.2,3200.0,150.466666667,0,0,0,0
1073,Goat Creek,1073,78.0,5.0,400.0,150.466666667,0,1,0,1
1074,Trail of the Shadows,1074,29.0,1.0,20.0,123.35,1,0,0,0
1075,Steamboat Mountain,1075,5.0,1.4,625.0,251.933333333,0,0,1,0
1076,Big Creek Falls,1076,14.0,,,76.2833333333,0,1,0,1
1077,Mount Thomson,1077,1.0,,,111.033333333,0,0,0,0
1078,Des Moines Creek Trail,1078,6.0,4.0,235.0,20.2,0,0,0,1
1079,Pratt River Trail,1079,58.0,6.0,100.0,69.65,0,1,0,1
